# Zhou 2017 Figure 6
# Temperature: 273 K ??
# Strain rate: 5e3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, 0.014
#  C, 0.04
#  H, 0.005
# Fe, 0.03
#  O, 0.06
# Al, 6.16
#  V, 3.95
# ----------
# True Strain, True Stress (MPa)
6.93889e-18,2.27374e-13
0.000765,73.97
0.001338,665.75
0.003824,1001.69
0.010899,1175.8
0.019503,1235.86
0.027342,1255.85
0.035946,1297.42
0.042447,1297.38
0.050669,1317.38
0.058126,1335.83
0.065774,1358.91
0.073231,1360.41
0.081262,1368.08
0.087763,1384.99
0.095029,1394.2
0.101912,1404.96
0.108987,1406.46
0.115488,1417.21
0.122562,1426.43
0.128489,1451.05
0.134608,1454.1
0.141109,1457.15
0.147228,1466.37
0.153728,1460.17
0.160229,1460.14
0.167878,1423.11
0.174379,1379.93
0.18088,1241.19
0.187572,954.52
