# Seo 2005 Figure 17
# Temperature: 298 K
# Strain rate: 700 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.0, 1294.2
0.001646, 1308.4
0.003292, 1320.24
0.003498, 1320.24
0.004938, 1310.77
0.006379, 1303.66
0.007613, 1320.24
0.008271, 1341.54
0.009088, 1365.97
0.010231, 1352.82
0.011864, 1350.94
0.012354, 1334.03
0.013786, 1320.24
0.015432, 1306.03
0.017078, 1320.24
0.018518, 1334.44
0.019753, 1353.38
0.019959, 1355.74
0.021605, 1343.91
0.022428, 1334.44
0.023662, 1332.07
0.025255, 1330.27
0.026888, 1332.15
0.028189, 1336.81
0.029629, 1348.64
0.029835, 1351.01
0.03107, 1348.64
0.032921, 1346.28
0.034773, 1343.91
0.036197, 1343.42
0.036687, 1354.7
0.03783, 1369.73
0.039626, 1364.09
0.041357, 1360.48
0.042592, 1355.74
0.044032, 1353.38
0.045267, 1360.48
0.046913, 1362.85
0.04753, 1355.74
0.047942, 1353.38
0.048765, 1351.01
0.050205, 1348.64
0.050411, 1351.01
0.050822, 1348.64
0.052468, 1346.28
0.053909, 1341.54
0.054732, 1336.81
0.055555, 1341.54
0.057407, 1332.07
0.057818, 1329.7
0.05967, 1334.44
0.060287, 1336.81
0.06111, 1334.44
0.062962, 1341.54
0.063579, 1343.91
0.065225, 1329.7
0.06646, 1327.34
0.0679, 1341.54
0.069546, 1355.74
0.069752, 1355.74
0.070575, 1351.01
0.072221, 1362.85
0.072838, 1365.21
0.074073, 1369.95
0.074484, 1367.58
0.075719, 1360.48
0.076542, 1365.21
0.077365, 1358.11
0.0786, 1351.01
0.079423, 1355.74
0.079628, 1353.38
0.081069, 1360.48
0.08148, 1358.11
0.083332, 1355.74
0.084978, 1365.21
0.08539, 1369.95
0.087447, 1374.68
0.089299, 1381.78
0.08971, 1388.89
0.090328, 1386.52
0.091356, 1393.62
0.092591, 1374.68
0.093208, 1367.58
0.09506, 1374.68
0.0965, 1386.52
0.098146, 1374.68
0.098352, 1372.32
0.099175, 1374.68
0.099587, 1369.95
0.101439, 1379.42
0.102262, 1374.68
0.103496, 1369.95
0.104319, 1372.32
0.105142, 1369.95
0.105965, 1374.68
0.106583, 1377.05
0.1072, 1379.42
0.108434, 1388.89
0.11008, 1379.42
0.110492, 1377.05
0.111521, 1386.52
0.111932, 1384.15
0.112755, 1391.25
0.112961, 1388.89
0.114401, 1386.52
0.116253, 1384.15
0.117076, 1391.25
0.118105, 1384.15
0.119545, 1395.99
0.119957, 1398.36
0.120368, 1393.62
0.121603, 1384.15
0.122014, 1379.42
0.122837, 1386.52
0.12366, 1379.42
0.124072, 1374.68
