# Seo 2005 Figure 15
# Temperature: 1093 K
# Strain rate: 1400 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.0, 599.86
0.001234, 616.1
0.002879, 626.25
0.00473, 634.37
0.005141, 636.41
0.006992, 628.3
0.008432, 616.14
0.009871, 601.95
0.011516, 589.78
0.013367, 579.65
0.015218, 571.55
0.017069, 561.41
0.017274, 561.42
0.019331, 563.46
0.020976, 573.61
0.023032, 573.62
0.024061, 577.68
0.025911, 581.75
0.026323, 583.78
0.028379, 583.79
0.029819, 581.77
0.031875, 581.78
0.032081, 579.75
0.034137, 577.73
0.034754, 575.71
0.036605, 577.75
0.038662, 577.76
0.03969, 575.74
0.041746, 575.75
0.043186, 573.73
0.045242, 573.74
0.047093, 581.86
0.048327, 585.92
0.049149, 583.9
0.051, 585.94
0.052028, 587.97
0.053674, 581.9
0.055319, 579.88
0.057375, 579.89
0.059226, 588.01
0.060049, 592.07
0.060871, 590.05
0.062928, 590.06
0.064778, 598.18
0.06519, 600.21
0.067041, 592.11
0.068891, 584.01
0.070125, 577.93
0.071359, 584.02
0.073416, 584.03
0.075266, 592.15
0.075883, 594.19
0.07794, 596.23
0.079791, 604.35
0.080202, 606.38
0.080613, 604.35
0.08267, 604.37
0.08452, 596.26
0.085549, 590.18
0.086577, 588.16
0.088428, 592.23
0.089662, 598.32
0.091718, 598.33
0.093569, 604.42
0.094803, 608.49
0.096859, 608.5
0.098093, 606.48
0.100149, 606.49
0.101589, 604.47
0.103029, 606.5
0.104879, 614.63
0.105085, 614.63
0.107141, 614.64
0.109198, 614.65
0.110226, 620.74
0.11146, 612.63
0.113516, 608.59
0.114339, 604.54
0.116395, 606.57
0.117424, 608.61
0.11948, 610.65
0.121331, 610.66
0.121742, 608.63
0.123387, 604.58
0.125444, 608.65
0.126472, 610.69
0.128117, 606.64
0.129968, 612.73
0.130174, 612.73
0.13223, 612.75
0.134287, 616.81
0.134698, 618.84
0.136549, 610.74
0.137166, 608.71
0.139016, 600.61
0.139633, 596.56
0.141484, 606.71
0.142718, 614.83
0.143541, 616.86
0.145597, 616.87
0.146008, 614.85
0.148065, 614.86
0.149504, 612.84
0.151561, 612.85
0.153206, 610.83
0.155262, 610.84
0.157113, 618.96
0.15773, 621.0
0.158142, 618.97
0.160198, 618.98
0.161637, 616.96
0.163694, 616.97
0.165339, 614.95
0.167396, 614.96
0.169452, 617.0
0.17048, 623.09
0.171508, 625.13
0.173359, 629.19
0.174182, 631.23
0.176033, 625.15
0.177883, 619.08
0.17994, 621.12
0.181379, 627.21
0.182819, 629.24
0.184875, 633.31
0.185698, 635.35
0.187549, 629.27
0.1894, 635.37
0.189605, 635.37
0.191662, 635.38
0.192279, 633.35
0.193924, 631.33
0.19598, 631.34
0.197625, 643.52
0.198654, 645.56
0.20071, 639.48
0.202355, 629.35
0.202972, 627.32
0.204, 625.3
0.204412, 627.33
0.206263, 635.46
0.206468, 635.46
0.207908, 631.41
0.209553, 633.45
0.211609, 633.46
0.212021, 631.43
0.214077, 631.44
0.215311, 629.42
0.217162, 625.37
0.217573, 623.35
0.219629, 623.36
0.220452, 625.39
0.222303, 633.51
0.22292, 635.55
0.224771, 629.47
0.226621, 621.37
0.228061, 617.32
0.230117, 621.38
0.231763, 621.39
0.232174, 619.37
0.23423, 619.38
0.236081, 623.45
0.236287, 623.45
0.237109, 627.51
0.239166, 627.52
0.239577, 625.49
0.240605, 619.41
0.241222, 617.39
0.242867, 621.45
0.243896, 625.52
0.244924, 627.55
0.245541, 625.52
0.246363, 623.5
0.24698, 625.53
0.248009, 627.57
0.248831, 629.6
0.250476, 639.75
0.252327, 633.67
0.253561, 623.54
0.254384, 619.49
0.255206, 617.46
0.256029, 621.52
0.257674, 633.7
0.258085, 635.73
0.258702, 637.77
0.259319, 639.8
0.259525, 637.77
0.26117, 625.61
0.261992, 617.5
0.262609, 615.47
0.26446, 621.57
0.2659, 635.78
0.266105, 637.81
0.267545, 633.76
0.267956, 631.73
0.268573, 629.7
0.26919, 625.65
0.270013, 621.6
0.270424, 619.57
0.271041, 621.6
0.271863, 625.67
0.272686, 631.76
0.273303, 635.82
0.273714, 637.85
0.274948, 635.82
0.276593, 625.69
0.277416, 617.58
0.277827, 615.56
0.278444, 613.53
0.279884, 615.57
0.280706, 619.63
0.281734, 623.69
0.282557, 627.75
