# Seo 2005 Figure 15
# Temperature: 893 K
# Strain rate: 1400 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
True strain, stress (MPa)
0,4.54747e-13
0.000653,128.8
0.002122,272.1
0.003428,381.59
0.00457,484.64
0.005713,550.66
0.006529,616.67
0.007671,676.25
0.00854,711.42
0.009157,731.71
0.009568,749.97
0.010185,770.26
0.011213,786.49
0.012447,802.73
0.014092,814.91
0.014503,816.94
0.016354,808.83
0.017999,796.67
0.019439,782.48
0.020467,766.26
0.021495,748.01
0.022729,731.79
0.024169,715.57
0.025403,701.37
0.026636,685.15
0.028487,679.08
0.030338,687.2
0.031572,703.43
0.032806,719.67
0.03404,737.93
0.035479,750.11
0.036096,754.17
0.037947,752.15
0.039386,739.99
0.041032,729.86
0.04206,723.78
0.043294,721.75
0.04535,721.76
0.046173,719.74
0.048024,727.86
0.049874,738.02
0.051314,744.11
0.053165,748.18
0.054399,754.27
0.056249,746.16
0.057895,736.03
0.05954,723.87
0.059745,723.87
0.061596,721.85
0.06283,723.89
0.064886,727.95
0.065915,732.02
0.067766,738.11
0.069205,744.21
0.070439,742.18
0.072495,742.19
0.073318,740.17
0.075374,740.18
0.07558,738.15
0.077637,738.17
0.078459,736.14
0.080516,736.15
0.080927,734.13
0.081338,736.16
0.082161,738.19
0.084012,744.29
0.085657,756.46
0.086068,756.47
0.088124,756.48
0.089564,760.54
0.091415,754.47
0.092237,752.44
0.094294,752.45
0.095733,754.49
0.096556,752.47
0.098612,756.53
0.099846,748.43
0.100669,746.4
0.102108,752.5
0.103959,756.56
0.105604,752.52
0.107455,754.55
0.108689,752.53
0.110745,752.54
0.111362,750.52
0.113419,748.5
0.11383,750.53
0.115064,754.59
0.116298,752.57
0.117737,754.61
0.11856,752.58
0.120616,754.62
0.12185,756.66
0.123701,764.78
0.123907,764.78
0.125963,764.8
0.127403,762.77
0.129459,762.79
0.130076,760.76
0.132133,760.77
0.132955,758.75
0.135012,758.76
0.136862,762.83
0.137891,766.89
0.139741,772.98
0.140975,781.1
0.143032,777.06
0.144883,768.95
0.145911,764.9
0.146733,766.94
0.148173,771
0.150229,771.01
0.150435,773.04
0.151463,775.07
0.15352,777.11
0.154342,779.15
0.156193,771.04
0.157633,764.97
0.159278,773.09
0.1601,775.12
0.161334,777.16
0.162157,779.19
0.164008,785.28
0.165241,789.35
0.167298,783.27
0.168121,783.28
0.168943,789.37
0.170383,787.35
0.171822,789.38
0.173879,789.39
0.175318,797.52
0.176758,793.47
0.178608,795.51
0.180459,789.43
0.181487,787.41
0.183544,789.45
0.185395,797.57
0.186834,801.63
0.187657,799.61
0.189508,791.51
0.19033,787.45
0.191564,785.43
0.193621,785.44
0.194237,783.42
0.196294,783.43
0.197733,785.47
0.199584,789.53
0.200407,791.57
0.200818,789.54
0.202875,789.55
0.203697,787.53
0.205754,787.54
0.207604,797.69
0.209044,805.81
0.2111,805.82
0.212951,811.92
0.214802,807.87
0.215213,805.84
0.216242,803.82
0.217064,805.85
0.218915,813.98
0.220354,820.07
0.221794,818.05
0.222617,820.08
0.223645,822.12
0.225496,818.07
0.225907,816.04
0.226729,814.02
0.228786,814.03
0.23002,820.12
0.230637,822.15
0.231665,816.07
0.232282,812.02
0.232693,809.99
0.234544,814.06
0.23475,814.06
0.235983,824.21
0.237629,814.08
0.238451,805.97
0.239274,803.94
0.240096,805.98
0.241536,812.07
0.242153,814.1
0.243181,812.08
0.244621,810.06
0.245649,803.98
0.247088,808.04
0.248117,812.11
0.248734,814.14
0.249967,812.12
0.250584,810.09
0.251201,808.07
0.251613,806.04
0.253669,806.05
0.253875,808.08
0.254903,814.17
0.25552,816.2
0.257371,810.13
0.257988,806.07
0.25881,802.02
0.259427,800
0.260455,802.03
0.261072,806.09
0.2621,814.21
0.264157,814.22
0.264363,812.19
0.265391,806.11
0.266419,804.09
0.267036,806.12
0.267859,808.16
0.268475,812.22
0.269298,814.25
0.270121,812.22
0.270943,808.17
0.271971,802.09
0.272588,800.07
0.273411,798.04
0.274645,800.08
0.275262,802.11
0.276084,806.17
0.278141,804.15
0.278346,802.13
0.278758,800.1
