# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 1000 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 268.41
0.002406, 298.79
0.005416, 325.79
0.010234, 346.02
0.015658, 356.11
0.021684, 362.82
0.027713, 359.41
0.033741, 355.99
0.039166, 352.57
0.044592, 349.16
0.05062, 349.12
0.056045, 345.71
0.061471, 338.92
0.066897, 335.5
0.072924, 338.84
0.078953, 332.04
0.084378, 328.63
0.0892, 328.6
0.095229, 325.18
0.100654, 325.14
0.106079, 321.73
0.112106, 325.07
0.117532, 321.65
0.122957, 321.61
0.128985, 318.2
0.134411, 314.78
0.140438, 314.74
0.145864, 311.33
0.151892, 311.29
0.157317, 307.87
0.163346, 304.46
0.169373, 307.79
0.174798, 307.76
0.180826, 304.34
0.186251, 304.3
0.191676, 304.26
0.197101, 304.23
0.201923, 304.2
0.207349, 300.78
0.213376, 300.74
0.218802, 297.33
0.224227, 297.29
0.229049, 297.26
0.235076, 300.59
0.240502, 297.18
0.246529, 297.14
0.252557, 297.1
0.257983, 293.69
0.263408, 293.65
0.269435, 296.99
0.27486, 293.57
0.280285, 293.54
0.286314, 286.74
0.291739, 286.7
0.297163, 293.42
0.302588, 293.38
0.308616, 293.34
0.314644, 289.93
0.320069, 289.89
0.326097, 289.85
0.332124, 289.81
0.338152, 289.77
0.343577, 289.73
0.349002, 289.69
0.354427, 289.66
0.359853, 286.24
0.365277, 289.58
0.370703, 282.79
0.376127, 286.13
0.381552, 289.47
0.386977, 286.06
0.393005, 289.4
0.397827, 285.99
0.403855, 285.95
0.408677, 285.91
0.414705, 285.87
0.42013, 282.46
0.425556, 279.05
0.43098, 282.39
