# Nemat-Nasser2001 Figure 1a Commercial Ti64
# Temperature: 598 K
# Strain rate: 2700 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
3.1e-05,0.000557101
0.001671,419.74
0.002327,565.19
0.003639,664.93
0.004294,775.06
0.005934,868.57
0.007246,951.69
0.007901,984.93
0.009746,989.97
0.014862,954.35
0.017083,939.22
0.020831,954.35
0.025947,985.52
0.034473,989.97
0.042147,1003.34
0.04982,1003.34
0.058347,1003.34
0.06602,1003.34
0.074547,1007.79
0.083073,1012.24
0.090747,1021.15
0.099273,1021.15
0.106947,1034.51
0.115473,1038.96
0.124,1043.42
0.131673,1047.87
0.1402,1056.78
0.148726,1061.23
0.157253,1061.23
0.164926,1070.14
0.173453,1074.59
0.181979,1083.5
0.189653,1087.95
0.197326,1083.5
0.205853,1083.5
0.214379,1092.41
0.222053,1096.86
0.230579,1096.86
0.239106,1096.86
0.247632,1096.86
0.256158,1096.86
0.264685,1101.31
0.273211,1101.31
0.281738,1105.77
0.289411,1110.22
0.297938,1110.22
0.306464,1110.22
0.31499,1110.22
0.323517,1110.22
0.33119,1105.77
0.339717,1105.77
0.348243,1105.77
0.35677,1105.77
0.365296,1105.77
0.373822,1105.77
0.382349,1101.31
0.390875,1096.86
0.399401,1092.41
0.407075,1087.95
0.414749,1079.05
0.422423,1061.23
0.429244,1034.51
