# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,4.54747e-13
0.002386,86.32
0.00477,179.28
0.006424,281.11
0.007602,363.02
0.008052,447.14
0.009219,555.62
0.010161,619.81
0.011811,732.71
0.012491,847.83
0.013893,974.02
0.015072,1051.49
0.016007,1135.62
0.01671,1193.17
0.017168,1257.37
0.01811,1323.78
0.019539,1383.55
0.020489,1427.82
0.0212,1465.45
0.022397,1500.86
0.024081,1527.41
0.027226,1534.02
0.029406,1531.78
0.031581,1542.82
0.032546,1551.67
0.036411,1573.77
0.040767,1578.15
0.045607,1586.95
0.049481,1586.91
0.053353,1591.29
0.058192,1600.09
0.062549,1604.47
0.067391,1604.42
0.071748,1608.8
0.076589,1613.17
0.081428,1621.98
0.085784,1626.36
0.090623,1635.16
0.094984,1630.68
0.099828,1626.2
0.104672,1621.72
0.109031,1621.67
0.113873,1621.62
0.11823,1626
0.123559,1621.51
0.128398,1630.31
0.132753,1639.12
0.137595,1639.07
0.142436,1643.44
0.146796,1638.97
0.151639,1638.91
0.155994,1647.72
0.160838,1643.24
0.165681,1643.18
0.170036,1651.99
0.174396,1647.52
0.178756,1643.04
0.183597,1647.41
0.187957,1642.94
0.191826,1656.18
0.194494,1645.08
0.19909,1656.1
0.201025,1660.51
0.205869,1656.02
0.210231,1647.12
0.212163,1660.38
0.214594,1636
0.216531,1635.98
0.218465,1642.6
0.222827,1633.7
0.227674,1624.79
0.232037,1611.45
0.235917,1598.13
0.242707,1571.48
0.24659,1549.3
0.24951,1513.84
0.252426,1487.24
0.255346,1451.79
0.257784,1411.91
0.259253,1372.04
0.261216,1305.6
0.262687,1261.3
0.264158,1217
0.267596,1097.41
0.269065,1057.54
0.270535,1013.24
0.271522,968.95
0.272992,924.65
0.278932,605.77
0.279919,561.48
0.280905,517.19
0.281407,472.9
0.283633,357.75
