# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 5100 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,4.54747e-13
0.004274,208.07
0.005908,360.82
0.007308,491.43
0.007721,668.55
0.009359,808.01
0.0098,916.5
0.010485,1018.33
0.011176,1106.89
0.012116,1175.51
0.012575,1239.71
0.014472,1339.32
0.015659,1396.87
0.01661,1441.14
0.017076,1485.42
0.018027,1529.69
0.019463,1569.53
0.020898,1613.79
0.023304,1653.62
0.027174,1662.43
0.031057,1640.25
0.034938,1622.49
0.039781,1622.44
0.044132,1640.1
0.04751,1671.06
0.051373,1697.59
0.055726,1710.82
0.060565,1719.62
0.064443,1710.73
0.068808,1692.97
0.073649,1697.34
0.078008,1697.29
0.082371,1683.96
0.087212,1688.33
0.091565,1701.57
0.095916,1719.23
0.100761,1714.75
0.105125,1701.42
0.109486,1692.51
0.113841,1701.32
0.118192,1718.99
0.122549,1723.37
0.126423,1723.32
0.131266,1723.27
0.136108,1723.22
0.140465,1727.6
0.144575,1743.05
0.148689,1749.65
0.152324,1740.75
0.156437,1749.56
0.161276,1758.36
0.165636,1753.89
0.170477,1758.26
0.175323,1749.35
0.181136,1744.86
0.185008,1749.24
0.18937,1740.34
0.194218,1727
0.198573,1735.81
0.203414,1740.18
0.207779,1722.42
0.211182,1691.39
0.218474,1620.46
0.221877,1589.43
0.226743,1531.81
0.22918,1491.93
0.231133,1452.05
0.233571,1412.17
0.235524,1372.3
0.237477,1332.43
0.23943,1292.55
0.240901,1248.26
0.242369,1208.39
0.24384,1164.09
0.245557,1108.72
0.247275,1053.35
0.248257,1017.92
0.249726,978.05
0.250713,933.76
0.251702,882.82
0.25342,825.24
0.255141,761.01
0.256617,703.43
0.257603,659.14
0.259072,619.27
0.26104,543.97
0.26251,499.68
0.263979,459.81
0.26545,415.51
0.266919,375.64
0.268388,335.77
0.270341,295.9
0.272294,256.03
0.274731,216.15
0.278134,185.11
0.282497,171.78
0.286852,180.59
0.291202,202.68
0.295067,224.78
0.297483,238.04
0.301832,260.13
0.304731,275.59
