# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,4.54747e-13
0.004285,181.5
0.005938,285.54
0.006865,389.59
0.007298,515.79
0.008221,628.69
0.00914,750.45
0.010055,883.28
0.010756,947.48
0.012418,1027.17
0.014321,1113.49
0.018168,1179.87
0.021545,1210.83
0.025409,1237.36
0.02976,1255.02
0.034111,1272.69
0.038466,1281.49
0.042819,1294.73
0.047656,1307.96
0.052011,1316.77
0.056848,1330
0.061203,1338.81
0.066042,1347.61
0.070397,1356.42
0.07475,1369.65
0.079107,1374.03
0.083463,1378.41
0.087818,1387.22
0.092173,1396.03
0.097012,1404.83
0.101853,1409.2
0.106206,1422.44
0.110562,1426.82
0.114917,1435.63
0.121209,1444.41
0.12605,1448.79
0.130891,1453.16
0.135245,1461.97
0.140086,1466.35
0.144441,1475.15
0.149282,1479.53
0.153638,1483.91
0.157511,1488.29
0.161867,1492.67
0.166222,1501.48
0.170581,1501.43
0.174935,1510.24
0.179778,1510.19
0.184135,1514.57
0.188489,1523.37
0.192846,1527.75
0.198171,1532.12
0.202528,1536.5
0.207368,1540.88
0.211725,1545.26
0.216566,1549.63
0.220924,1549.58
0.226734,1553.95
0.23109,1558.33
0.235931,1562.7
0.246581,1571.44
0.250938,1575.82
