# Nemat-Nasser2001 Figure 1b Commercial Ti64
# Temperature: 296 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 998.07
0.003389, 1016.49
0.008236, 1023.83
0.012597, 1034.86
0.01696, 1038.51
0.021321, 1045.85
0.026168, 1053.18
0.03053, 1060.52
0.035377, 1067.86
0.039739, 1075.2
0.044585, 1082.53
0.048947, 1089.87
0.053794, 1097.21
0.058157, 1100.86
0.063002, 1111.88
0.067364, 1119.22
0.071726, 1126.56
0.076573, 1133.9
0.080935, 1141.24
0.085781, 1148.57
0.090143, 1155.91
0.094991, 1159.56
0.099837, 1170.59
0.104199, 1177.93
0.109045, 1185.26
0.113407, 1192.6
0.117769, 1199.94
0.122617, 1199.9
0.126978, 1214.62
0.13134, 1218.27
0.136188, 1221.91
0.140549, 1232.94
0.145396, 1236.59
0.150243, 1243.92
0.154605, 1251.26
0.159453, 1254.91
0.163814, 1262.25
0.168661, 1269.58
0.173023, 1276.92
0.17787, 1284.26
0.182232, 1291.6
0.187079, 1295.24
0.191442, 1298.89
0.196289, 1306.23
0.200651, 1313.57
0.205013, 1317.22
0.209375, 1324.56
0.214222, 1331.89
0.219069, 1339.23
0.22343, 1346.57
0.228277, 1353.9
0.23264, 1357.55
0.237487, 1364.89
0.242334, 1368.53
0.246695, 1379.56
0.251058, 1383.21
0.255905, 1390.55
0.260267, 1394.2
0.264629, 1401.54
0.268991, 1408.88
0.273839, 1412.52
0.278201, 1419.86
0.283047, 1427.2
0.287409, 1434.54
0.291772, 1438.19
0.295407, 1441.84
