# Nemat-Nasser2001 Figure 1b Commercial Ti64
# Temperature: 296 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,0
0.001192,83.01
0.002149,134.67
0.003347,195.54
0.003811,280.41
0.004519,357.89
0.005449,523.93
0.006618,701.05
0.007076,811.74
0.007541,892.92
0.008495,959.33
0.008728,998.07
0.012117,1016.49
0.016964,1023.83
0.021325,1034.86
0.025688,1038.51
0.030049,1045.85
0.034896,1053.18
0.039258,1060.52
0.044105,1067.86
0.048467,1075.2
0.053313,1082.53
0.057675,1089.87
0.062522,1097.21
0.066885,1100.86
0.07173,1111.88
0.076092,1119.22
0.080454,1126.56
0.085301,1133.9
0.089663,1141.24
0.094509,1148.57
0.098871,1155.91
0.103719,1159.56
0.108565,1170.59
0.112927,1177.93
0.117773,1185.26
0.122135,1192.6
0.126497,1199.94
0.131345,1199.9
0.135706,1214.62
0.140068,1218.27
0.144916,1221.91
0.149277,1232.94
0.154124,1236.59
0.158971,1243.92
0.163333,1251.26
0.168181,1254.91
0.172542,1262.25
0.177389,1269.58
0.181751,1276.92
0.186598,1284.26
0.19096,1291.6
0.195807,1295.24
0.20017,1298.89
0.205017,1306.23
0.209379,1313.57
0.213741,1317.22
0.218103,1324.56
0.22295,1331.89
0.227797,1339.23
0.232158,1346.57
0.237005,1353.9
0.241368,1357.55
0.246215,1364.89
0.251062,1368.53
0.255423,1379.56
0.259786,1383.21
0.264633,1390.55
0.268995,1394.2
0.273357,1401.54
0.277719,1408.88
0.282567,1412.52
0.286929,1419.86
0.291775,1427.2
0.296137,1434.54
0.3005,1438.19
0.304135,1441.84
