# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 600 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
0,2.27374e-13
0.001792,99.61
0.002687,153.64
0.004486,209.35
0.005082,246.49
0.005678,287.02
0.006873,351.17
0.007168,390.01
0.008662,467.67
0.010159,526.76
0.011959,575.72
0.013763,602.72
0.016169,633.1
0.018575,660.1
0.022188,687.09
0.026403,710.7
0.031825,727.55
0.036645,741.03
0.041465,754.5
0.046888,764.6
0.052311,778.07
0.058338,784.78
0.063761,794.88
0.069184,804.97
0.074608,808.31
0.079429,818.41
0.084853,825.13
0.090879,835.22
0.0957,841.94
0.101727,845.28
0.10715,855.37
0.113177,862.09
0.118601,868.8
0.124628,872.14
0.130052,878.86
0.136079,882.2
0.141503,888.91
0.146926,899.01
0.152351,898.97
0.158378,905.68
0.163802,909.02
0.169226,912.37
0.17465,919.08
0.180074,925.8
0.185499,925.76
0.191526,932.48
0.196951,932.44
0.202374,939.16
0.208401,945.87
0.213825,949.21
0.219853,952.55
0.22588,955.89
0.231907,959.22
0.237331,962.56
0.243358,965.9
0.248783,969.24
0.25481,972.58
0.260234,975.92
0.266262,979.25
0.271686,982.59
0.277713,985.93
0.283138,989.27
0.289165,992.61
0.295192,992.57
0.300617,995.91
0.306042,995.87
0.312069,999.21
0.317494,999.17
0.322315,1005.89
0.327739,1009.23
0.332562,1009.2
0.338588,1015.91
0.344014,1012.5
0.349438,1015.84
0.355465,1019.18
0.360891,1015.76
0.366918,1019.1
0.372945,1022.43
0.37837,1022.4
0.383794,1025.74
0.389822,1025.7
0.395247,1025.66
0.400672,1029
0.406097,1028.96
0.411521,1032.3
0.416946,1032.27
