# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 800 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,4.54747e-13
0.003586,115.09
0.006193,254.54
0.007847,354.16
0.009282,398.42
0.01047,455.97
0.012628,506.87
0.014549,546.7
0.017441,582.09
0.020818,613.05
0.024681,639.58
0.029031,661.67
0.032898,679.34
0.037249,697
0.041604,705.81
0.045955,723.48
0.050794,732.28
0.055147,745.51
0.059502,754.32
0.063858,758.7
0.068698,767.51
0.073052,776.31
0.077891,785.12
0.082732,789.49
0.087089,793.87
0.09193,798.24
0.096771,802.62
0.101127,807
0.105482,815.81
0.109839,820.19
0.114681,820.13
0.119522,824.51
0.12388,824.46
0.128237,828.84
0.133078,833.21
0.136952,833.17
0.141793,837.54
0.146634,841.92
0.151476,841.87
0.156319,841.81
0.160675,846.19
0.165518,846.14
0.169875,850.52
0.174717,850.46
0.179558,854.84
0.183917,854.79
0.188275,854.74
0.192635,850.27
0.19699,859.07
0.201833,859.02
0.206675,858.97
0.211518,858.91
0.216359,863.29
0.220717,863.24
0.225075,863.19
0.229918,863.14
0.234278,858.66
0.238635,863.04
0.243477,862.99
0.24832,862.93
0.258004,867.25
0.262846,867.2
0.267689,867.15
0.272047,867.1
0.275439,862.63
0.279795,867.01
0.284152,871.39
0.288996,866.91
0.293353,871.29
0.297713,866.81
0.302556,866.76
0.306914,866.71
0.310304,866.68
0.315145,871.05
0.319503,871
0.324346,870.95
0.328704,870.9
0.333549,866.42
0.338391,866.36
0.342748,870.74
0.347591,870.69
