# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 296 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1018.11
0.003309, 1058.62
0.007524, 1082.23
0.01174, 1102.46
0.015957, 1119.32
0.02138, 1129.41
0.026802, 1146.26
0.032225, 1156.36
0.037648, 1169.83
0.043071, 1179.92
0.048496, 1183.26
0.053918, 1196.74
0.059342, 1203.45
0.064765, 1213.55
0.07019, 1216.89
0.075613, 1230.36
0.081037, 1233.7
0.087064, 1240.41
0.09309, 1250.5
0.098514, 1253.84
0.104541, 1260.56
0.109964, 1270.65
0.115991, 1273.99
0.122018, 1277.33
0.127441, 1287.42
0.132263, 1290.77
0.13829, 1297.48
0.143714, 1304.2
0.149138, 1307.54
0.155165, 1314.25
0.161192, 1317.59
0.166616, 1320.93
0.172041, 1324.27
0.178068, 1327.6
0.184094, 1337.69
0.190121, 1337.65
0.195546, 1340.99
0.20097, 1347.71
0.206997, 1351.05
0.213024, 1354.38
0.218448, 1357.73
0.223872, 1364.44
0.2299, 1364.4
0.235927, 1367.74
0.241352, 1371.08
0.246776, 1371.04
0.252804, 1371.0
0.258229, 1374.34
0.264256, 1374.3
0.269681, 1377.64
0.275708, 1377.6
0.281132, 1384.32
0.286558, 1380.9
0.291983, 1380.87
0.297408, 1377.45
0.303436, 1377.41
