x,Casem2018_Fig2a_1e-3_295K
0,-2.27374e-13
0.004735,688.97
0.009865,958.97
0.01164,988.45
0.0146,1010.17
0.020913,1030.34
0.025846,1038.1
0.030383,1048.97
0.035118,1056.72
0.039853,1064.48
0.044589,1073.79
0.049126,1081.55
0.053861,1089.31
0.058399,1098.62
0.063134,1106.38
0.067672,1114.14
0.072407,1123.45
0.077142,1131.21
0.08168,1140.52
0.086218,1145.17
0.090953,1151.38
0.095688,1160.69
0.100028,1168.45
0.104763,1174.66
0.109498,1180.86
0.114233,1187.07
0.118968,1193.28
0.123703,1199.48
0.128241,1204.14
0.136133,1213.45
0.141855,1221.21
0.147379,1228.97
0.1531,1235.17
0.157835,1241.38
0.162176,1247.59
0.166911,1253.79
0.170462,1258.45
0.175197,1263.1
0.179932,1269.31
0.18447,1275.52
0.189402,1281.72
0.194138,1284.83
0.198873,1291.03
0.203608,1295.69
0.208343,1298.79
0.213078,1303.45
0.217813,1308.1
0.222351,1314.31
0.227086,1318.97
0.231623,1325.17
0.236359,1329.83
0.241094,1336.03
0.245829,1337.59
0.250564,1342.24
0.255299,1346.9
0.259837,1353.1
0.264572,1356.21
0.267926,1360.86
0.272661,1363.97
0.277593,1367.07
0.282328,1371.72
0.286866,1376.38
0.291404,1381.03
0.296139,1385.69
0.300676,1387.24
0.305411,1390.34
0.309949,1399.66
0.314684,1399.66
0.319025,1404.31
0.325536,1407.41
0.329876,1413.62
0.334611,1416.72
0.339346,1419.83
0.343884,1422.93
0.348422,1427.59

x,Casem2018_Fig2a_1e-2_295K
0,-2.27374e-13
0.000395,190.86
0.000986,271.55
0.001184,344.48
0.001381,383.28
0.001776,422.07
0.00217,460.86
0.002565,499.66
0.002959,538.45
0.003354,577.24
0.003946,645.52
0.00434,721.55
0.004932,760.34
0.005722,799.14
0.006313,836.38
0.007103,875.17
0.007694,913.97
0.008484,949.66
0.00947,986.9
0.013613,1027.24
0.018546,1042.76
0.023281,1050.52
0.026043,1056.72
0.030581,1064.48
0.035316,1073.79
0.040051,1081.55
0.044786,1089.31
0.049521,1098.62
0.054256,1104.83
0.058794,1115.69
0.063726,1121.9
0.068461,1128.1
0.072999,1138.97
0.077734,1146.72
0.082469,1151.38
0.085231,1156.03
0.087204,1157.59
0.091939,1163.79
0.098253,1171.55
0.104369,1180.86
0.110287,1188.62
0.114431,1197.93
0.119758,1202.59
0.124887,1208.79
0.130214,1213.45
