x,Casem2018_Fig7_3000_295K_01
0.224327,1396.4
0.227033,1402.91
0.230341,1391.55
0.232745,1401.32
0.235753,1389.95
0.236955,1398.09
0.238459,1389.97
0.242066,1396.49
0.244772,1393.25
0.245674,1396.5
0.247178,1390.01
0.248982,1394.89
0.250786,1386.78
0.251687,1394.91
0.255296,1393.3
0.258002,1390.06
0.260708,1386.82
0.264616,1391.72
0.268525,1390.11
0.271832,1390.13
0.27514,1383.64
0.278748,1386.91
0.282055,1383.68
0.284761,1380.44
0.288369,1380.46
0.291076,1377.22
0.294082,1382.11
0.297991,1377.25
0.301599,1372.4
0.304607,1362.66
0.307012,1359.42
0.310019,1359.43
0.310922,1346.44
0.312426,1335.07
0.315433,1335.08
0.316336,1320.46
0.319947,1284.72
0.322955,1270.11
0.323858,1250.61
0.325665,1211.61
0.327172,1172.61
0.328378,1131.98
0.329584,1092.98
0.33079,1052.36
0.331695,1011.73
0.332601,971.1
0.333506,930.47
0.334411,891.47
0.335317,850.84
0.336222,810.22
0.337128,769.59
0.338033,728.96
0.339239,688.34
0.340144,649.33
0.34105,608.71
0.342256,568.08
0.343161,527.45
0.344367,488.45
0.345874,447.83
0.347681,408.83
0.349789,369.83
0.352197,330.84
0.355808,295.1
0.360321,262.61
0.365134,231.76
0.370248,202.53
0.376863,194.43
0.384079,196.09
0.389488,220.5
0.396101,240.04
0.403016,248.2
0.40963,256.35
0.416544,272.64
0.42376,271.05
0.430976,269.46
0.43789,280.87
0.443901,303.65
0.449612,328.06
0.455623,349.22
0.462236,365.5
0.46885,378.54
0.475162,396.45
0.481776,411.11
0.488088,432.27
0.494701,445.3
0.498009,445.32
0.499812,455.08

x,Casem2018_Fig7_3000_295K_03
0.00015,-0.81
0.001349,44.7
0.001647,82.08
0.002846,122.72
0.003745,161.73
0.004643,202.37
0.005542,243.01
0.006441,283.64
0.007038,324.28
0.007937,364.91
0.008836,405.55
0.009434,444.56
0.010032,485.2
0.01063,525.83
0.011227,566.47
0.012126,607.1
0.012724,647.74
0.013322,688.37
0.01392,729.01
0.014818,769.64
0.015416,810.28
0.016014,849.29
0.016912,901.3
0.01751,941.94
0.018409,982.57
0.019007,1023.21
0.020206,1062.22
0.021105,1102.86
0.022604,1143.5
0.025007,1180.89
0.02801,1216.66
0.032217,1250.81
0.037025,1280.09
0.042435,1302.87
0.048748,1311.03
0.055963,1317.56
0.062578,1319.22
0.066486,1317.62
0.06859,1327.38
0.071297,1322.51
0.074605,1309.53
0.078512,1329.05
0.081219,1319.31
0.083623,1327.45
0.084827,1320.96
0.088735,1320.97
0.092042,1324.24
0.097755,1324.27
0.099858,1338.91
0.102865,1340.55
0.105571,1334.06
0.109178,1343.83
0.113388,1342.22
0.117595,1360.12
0.12391,1353.65
0.12872,1360.18
0.132628,1365.07
0.135634,1371.59
0.13804,1360.22
0.14255,1363.49
0.148863,1371.65
0.154275,1370.05
0.162993,1381.47
0.169607,1388.01
0.176522,1396.17
0.183738,1396.2
0.190653,1394.61
0.196065,1397.89
0.201177,1388.16
0.208693,1388.2
0.212903,1388.22
0.218013,1396.37
0.22072,1386.63
0.226432,1393.16
0.231844,1398.06
0.23515,1407.83
0.238758,1404.6
0.242366,1409.49
0.252589,1406.29
0.256497,1403.06
0.259504,1401.45
0.265517,1404.73
0.268824,1414.49
0.27153,1411.26
0.273936,1401.52
0.275137,1414.52
0.279347,1412.92
0.282354,1408.06
0.286263,1403.2
0.288367,1408.09
0.292576,1408.11
0.294981,1414.62
0.297087,1403.25
0.302498,1408.16
0.305506,1395.17
0.308512,1395.18
0.312121,1393.58
0.315428,1395.22
0.318736,1383.86
0.322042,1392
0.325049,1392.01
0.329259,1379.03
0.331664,1390.42
0.335574,1375.81
0.339783,1375.83
0.34279,1366.1
0.346699,1366.11
0.349406,1353.13
0.356022,1336.91
0.35903,1319.04
0.361436,1310.93
0.365047,1273.56
0.367155,1234.57
0.368962,1195.57
0.370769,1156.57
0.372276,1115.95
0.373482,1076.95
0.374688,1036.32
0.375593,995.69
0.376499,955.06
0.377404,916.06
0.37861,875.44
0.379515,834.81
0.380421,794.18
0.381326,755.18
0.382231,714.55
0.383137,673.92
0.384042,633.29
0.384947,592.67
0.385853,552.04
0.387059,513.04
0.387964,472.41
0.38917,431.78
0.390376,392.78
0.391582,352.16
0.393089,311.53
0.394896,272.53
0.398208,210.79
0.404524,194.57
0.409933,222.22
0.412036,244.99
0.418649,262.9
0.425865,259.68
0.429472,274.33
0.436085,293.86
0.442698,306.9
0.453223,290.7
0.460139,274.48
0.467355,277.76
0.474271,272.92
0.480886,264.83
0.487801,268.11
0.495016,273.02

x,Casem2018_Fig7_3000_295K_04
0.000451,-0.81
0.002254,10.58
0.002552,43.08
0.005256,64.22
0.006453,137.37
0.007652,178.01
0.008851,217.02
0.010051,257.66
0.01125,298.29
0.012149,337.31
0.013348,377.94
0.014246,418.58
0.015446,459.22
0.016344,499.85
0.016942,538.86
0.017841,579.5
0.01874,620.14
0.019638,660.77
0.020236,701.41
0.021135,742.04
0.021733,782.68
0.022331,813.56
0.02293,849.32
0.023529,873.7
0.023827,901.34
0.024726,941.97
0.025624,982.61
0.026824,1021.62
0.028023,1062.26
0.029824,1101.27
0.030424,1120.78
0.031925,1140.29
0.037035,1161.44
0.040941,1193.97
0.04605,1211.87
0.051159,1239.53
0.053263,1252.54
0.05627,1246.05
0.058674,1262.32
0.06138,1263.96
0.064688,1252.6
0.06619,1267.23
0.072504,1267.26
0.078218,1252.66
0.080321,1270.55
0.082725,1278.69
0.08934,1281.97
0.095655,1262.5
0.098963,1257.64
0.101066,1273.9
0.10708,1269.05
0.111587,1303.21
0.115195,1298.35
0.117299,1314.61
0.123012,1300.01
0.125719,1288.65
0.127822,1304.91
0.132032,1301.68
0.133537,1287.06
0.136242,1287.08
0.13955,1285.47
0.141954,1301.73
0.14496,1309.87
0.151575,1306.65
0.157888,1316.44
0.159993,1303.44
0.163901,1318.09
0.167509,1313.23
0.169612,1329.5
0.172017,1339.26
0.175324,1336.02
0.177728,1350.66
0.181036,1344.18
0.183142,1336.06
0.186749,1339.33
0.189454,1352.35
0.192161,1339.36
0.194568,1326.37
0.197273,1329.63
0.20178,1362.16
0.204788,1352.42
0.207794,1362.19
0.211102,1354.08
0.214108,1357.34
0.217114,1358.98
0.220121,1357.37
0.224029,1362.27
0.226736,1352.53
0.22914,1372.04
0.232146,1372.06
0.236656,1372.08
0.239062,1365.59
0.24237,1359.11
0.245075,1370.5
0.249284,1372.14
0.251991,1364.03
0.255899,1365.67
0.258003,1375.43
0.264016,1380.34
0.267023,1372.23
0.270631,1367.37
0.273036,1378.76
0.27454,1365.76
0.276644,1370.65
0.279951,1375.54
0.282958,1369.05
0.291977,1380.48
0.297689,1385.38
0.304304,1385.41
0.307312,1374.05
0.310618,1383.82
0.314225,1390.34
0.317834,1387.1
0.321744,1370.87
0.323246,1382.25
0.327155,1380.65
0.32926,1374.16
0.332867,1383.93
0.335574,1370.94
0.337678,1383.95
0.341286,1372.59
0.343691,1385.6
0.3476,1380.75
0.350607,1366.13
0.353313,1375.9
0.357521,1384.05
0.359627,1367.8
0.363235,1369.45
0.36594,1379.21
0.369248,1366.22
0.371954,1374.36
0.375261,1369.5
0.378869,1369.52
0.384883,1363.05
0.387891,1348.44
0.389994,1367.95
0.393603,1350.09
0.395106,1363.1
0.399013,1376.12
0.400518,1361.5
0.402624,1346.88
0.405629,1359.9
0.409237,1355.04
0.411343,1342.05
0.417656,1348.58
0.42367,1345.36
0.426077,1329.12
0.428784,1314.51
0.431192,1277.14
0.433601,1238.14
0.435709,1199.14
0.437817,1160.15
0.439624,1121.15
0.441431,1082.15
0.44414,1043.16
0.445947,1004.16
0.448055,965.16
0.449863,926.17
0.45167,885.54
0.454379,848.17
0.457088,810.81
0.458895,771.81
0.461003,732.81
0.463412,693.82
0.46552,654.82
0.467327,615.82
0.469134,575.2
0.472144,539.46
0.475454,503.72
0.478163,464.72
0.481774,430.61
0.482678,406.24
0.487792,377.01
0.492605,347.77
0.49952,344.56
