# Casem2018 Figure 7
# Temperature: 295 K
# Strain rate: 3000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1154.88
0.003003, 1192.28
0.006909, 1226.43
0.011717, 1257.33
0.016525, 1288.24
0.022538, 1289.89
0.029152, 1299.68
0.035465, 1302.96
0.040878, 1296.48
0.045087, 1294.88
0.047492, 1299.77
0.049897, 1301.4
0.051702, 1296.54
0.054407, 1303.05
0.057714, 1306.32
0.061323, 1299.83
0.064028, 1311.22
0.066432, 1317.74
0.068537, 1317.75
0.07004, 1324.26
0.072445, 1321.02
0.075752, 1332.41
0.080562, 1340.56
0.086574, 1348.72
0.090182, 1353.61
0.093488, 1360.13
0.097097, 1350.39
0.099501, 1363.41
0.10341, 1361.8
0.107018, 1363.44
0.111528, 1360.21
0.115738, 1355.36
0.120848, 1363.51
0.125058, 1363.53
0.129567, 1373.3
0.132573, 1379.82
0.138886, 1391.23
0.143396, 1389.62
0.144898, 1399.38
0.151512, 1405.92
0.155421, 1402.69
0.158728, 1409.2
0.162336, 1409.22
0.165944, 1404.36
0.172558, 1410.9
0.175264, 1414.16
0.176767, 1409.29
0.179172, 1412.55
0.18248, 1409.32
0.185486, 1414.21
0.188493, 1414.22
0.1918, 1414.24
0.19601, 1407.76
0.198715, 1412.65
0.202323, 1415.92
0.20533, 1412.68
0.208636, 1427.32
0.211042, 1422.46
0.217356, 1419.24
0.222768, 1414.39
0.229683, 1419.3
0.23239, 1409.56
0.236599, 1404.71
0.239906, 1419.35
0.242312, 1409.61
0.245018, 1408.0
0.249528, 1408.02
0.253438, 1391.79
0.258249, 1380.43
