# Casem2018 Figure 2a
# Temperature: 295 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 986.9
0.004143, 1027.24
0.009076, 1042.76
0.013811, 1050.52
0.016573, 1056.72
0.021111, 1064.48
0.025846, 1073.79
0.030581, 1081.55
0.035316, 1089.31
0.040051, 1098.62
0.044786, 1104.83
0.049324, 1115.69
0.054256, 1121.9
0.058991, 1128.1
0.063529, 1138.97
0.068264, 1146.72
0.072999, 1151.38
0.075761, 1156.03
0.077734, 1157.59
0.082469, 1163.79
0.088783, 1171.55
0.094899, 1180.86
0.100817, 1188.62
0.104961, 1197.93
0.110288, 1202.59
0.115417, 1208.79
0.120744, 1213.45
0.125874, 1221.21
0.131793, 1225.86
0.136133, 1233.62
0.141066, 1236.72
0.144025, 1242.93
0.14876, 1247.59
0.153495, 1250.69
0.15823, 1255.34
0.162965, 1260.0
0.1677, 1263.1
0.172633, 1267.76
0.177368, 1272.41
0.182103, 1275.52
0.186838, 1281.72
0.19177, 1284.83
0.196505, 1291.03
0.20124, 1294.14
0.205975, 1298.79
0.210908, 1303.45
0.215643, 1306.55
0.220378, 1312.76
0.22531, 1314.31
0.230045, 1320.52
0.23478, 1323.62
0.239515, 1326.72
0.24425, 1329.83
0.248985, 1334.48
0.253721, 1340.69
0.258653, 1342.24
0.263388, 1346.9
0.268123, 1351.55
0.273055, 1356.21
0.277593, 1359.31
0.282525, 1363.97
0.287261, 1367.07
0.291996, 1370.17
0.296731, 1374.83
0.301466, 1376.38
0.306201, 1379.48
0.310739, 1384.14
0.315474, 1385.69
0.318433, 1390.34
0.322379, 1395.0
0.327114, 1393.45
0.331849, 1399.66
0.336584, 1401.21
