# Casem2018 Figure 2b
# Temperature: 295 K
# Strain rate: 10000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1318.7
0.0014, 1342.41
0.002684, 1363.48
0.003794, 1361.72
0.006539, 1359.96
0.007942, 1353.82
0.009344, 1339.77
0.01139, 1325.72
0.013376, 1317.82
0.015071, 1299.39
0.016182, 1287.09
0.01735, 1290.61
0.01916, 1299.39
0.021613, 1305.53
0.023657, 1316.07
0.026109, 1331.87
0.02827, 1333.63
0.030606, 1334.5
0.03195, 1324.85
0.033412, 1309.04
0.035631, 1306.41
0.038027, 1297.63
0.040772, 1307.29
0.043458, 1323.09
0.046844, 1338.89
0.048888, 1355.58
0.051516, 1361.72
0.05432, 1361.72
0.057824, 1369.62
0.060979, 1361.72
0.064659, 1357.33
0.068046, 1360.84
0.070791, 1372.26
0.072718, 1379.28
0.075405, 1381.91
0.077565, 1395.08
0.079376, 1399.47
0.081304, 1385.43
0.082824, 1376.65
0.084926, 1378.4
0.086503, 1387.18
0.088022, 1382.79
0.088957, 1378.4
0.091995, 1367.87
0.095323, 1379.28
0.09766, 1381.91
0.10023, 1371.38
0.102683, 1378.4
0.106013, 1374.01
0.108525, 1367.87
0.110511, 1372.26
0.112263, 1378.4
0.115008, 1371.38
0.117287, 1366.99
0.11974, 1374.89
0.121784, 1374.89
0.124588, 1362.6
0.128911, 1364.35
0.131772, 1371.38
0.134226, 1367.87
0.135744, 1374.89
0.13773, 1382.79
0.139773, 1395.96
0.141818, 1395.96
0.146957, 1404.74
0.149118, 1412.64
0.152682, 1407.37
0.154551, 1402.99
0.156011, 1410.01
0.157821, 1412.64
0.159457, 1410.01
0.16156, 1402.99
0.164071, 1422.3
0.165998, 1432.84
0.167108, 1419.67
0.168394, 1407.37
0.170556, 1401.23
0.1726, 1406.5
0.175287, 1410.01
0.17774, 1410.01
0.180309, 1423.18
0.182411, 1442.49
0.184163, 1448.64
