x,Casem2018_Fig2b_10000_295K_01
0,0
0.001108,23.71
0.001867,38.63
0.003035,44.78
0.004319,65.85
0.005485,96.58
0.005951,120.28
0.007523,208.08
0.00857,289.73
0.011186,494.29
0.012057,586.48
0.013162,670.76
0.014035,715.54
0.017063,884.99
0.01846,956.98
0.01951,992.1
0.023707,1136.08
0.025398,1194.03
0.028431,1253.73
0.031117,1282.7
0.032226,1284.46
0.034621,1284.46
0.0369,1277.44
0.038593,1293.24
0.040753,1309.04
0.043207,1297.63
0.045543,1309.04
0.047822,1291.48
0.049575,1273.05
0.052322,1241.44
0.054718,1236.17
0.05968,1281.83
0.0626,1292.36
0.065052,1309.92
0.067973,1303.78
0.07095,1330.99
0.073638,1319.58
0.076149,1321.33
0.078604,1304.65
0.08094,1309.92
0.0824,1307.29
0.085847,1298.51
0.088066,1311.68
0.089176,1302.02
0.090287,1291.48
0.091453,1320.46
0.092678,1352.06
0.097352,1325.72
0.101791,1339.77
0.105412,1347.67
0.109266,1363.48
0.111252,1369.62
0.115926,1347.67
0.119196,1358.21
0.120714,1368.74
0.122117,1358.21
0.125855,1354.7
0.13012,1352.94
0.132631,1363.48
0.133798,1372.26
0.134732,1382.79
0.136777,1385.43
0.139989,1385.43
0.142559,1396.84
0.145596,1397.72
0.148166,1389.82
0.150794,1400.35
0.155117,1394.21
0.16014,1396.84
0.162068,1401.23
0.164638,1393.33
0.16674,1402.99
0.16896,1400.35
0.171413,1403.86
0.1741,1400.35
0.176728,1411.76
0.178305,1411.76
0.182044,1400.35
0.183329,1404.74
0.185432,1410.89
0.187418,1410.01
0.19049,1401.83
0.192067,1386.5
0.196148,1379.53
0.199856,1389.29

x,Casem2018_Fig2b_10000_295K_02
0,0
0.000349,17.56
0.000523,40.39
0.000637,86.92
0.000639,64.09
0.000811,114.14
0.001277,144.86
0.002032,205.44
0.002613,272.17
0.002902,311.68
0.003191,374.01
0.003711,466.2
0.004117,514.49
0.00487,619.84
0.006031,754.17
0.007134,863.92
0.008239,950.83
0.009344,1030.73
0.010566,1107.11
0.012956,1196.66
0.015055,1261.63
0.016805,1301.14
0.018906,1337.14
0.020832,1359.96
0.022351,1347.67
0.023754,1329.24
0.025508,1301.14
0.027028,1272.17
0.029424,1258.12
0.031644,1257.24
0.033629,1264.27
0.034972,1280.07
0.036374,1283.58
0.03725,1287.97
0.038068,1283.58
0.039877,1302.02
0.042446,1318.7
0.044372,1343.28
0.047467,1373.13
0.050152,1392.45
0.051788,1383.67
0.05395,1373.13
0.056054,1354.7
0.05769,1350.31
0.060027,1338.89
0.06359,1345.04
0.06505,1344.16
0.068146,1348.55
0.070189,1360.84
0.073518,1366.99
0.07568,1362.6
0.080119,1359.96
0.082572,1359.09
0.084617,1360.84
0.086895,1357.33
0.089757,1357.33
0.092619,1359.09
0.094489,1352.94
0.097585,1346.8
0.100505,1353.82
0.102667,1341.53
0.10477,1330.99
0.107749,1333.63
0.109326,1341.53
0.111895,1352.94
0.113589,1360.84
0.115924,1375.77
0.118028,1364.35
0.120365,1351.19
0.12235,1360.84
0.124862,1359.09
0.126731,1364.35
0.129242,1369.62
0.131753,1384.55
0.133039,1380.16
0.135025,1371.38
0.138588,1372.26
0.1418,1380.16
0.144312,1372.26
0.146765,1381.91
0.14951,1381.04
0.152431,1378.4
0.156813,1359.09
0.159149,1366.11
0.161428,1358.21
0.164231,1372.26
0.166041,1384.55
0.167909,1394.21
0.170012,1400.35
0.171005,1397.72
0.173809,1381.91
0.176205,1368.74
0.181111,1375.77
0.185199,1399.47
0.188003,1395.96
0.190105,1404.74
0.192324,1410.01
0.195186,1414.4
0.197873,1417.91
0.199918,1411.76

x,Casem2018_Fig2b_10000_295K_03
0,0
0.000285,122.04
0.000809,151.01
0.001274,191.4
0.001855,244.95
0.002319,295.87
0.002667,340.65
0.003247,410.89
0.003768,485.51
0.004407,559.26
0.005334,683.93
0.006437,802.46
0.007423,913.96
0.008179,983.32
0.008877,1024.58
0.009984,1072.87
0.012198,1173.84
0.013771,1233.54
0.015112,1274.8
0.016629,1312.55
0.01762,1337.14
0.020247,1366.99
0.021533,1355.58
0.023345,1335.38
0.025274,1312.55
0.027495,1288.85
0.029248,1269.53
0.031526,1268.66
0.034446,1277.44
0.036899,1290.61
0.038884,1302.9
0.040636,1305.53
0.043148,1299.39
0.044842,1307.29
0.046829,1287.09
0.0494,1273.05
0.051737,1266.9
0.053898,1260.76
0.05635,1290.61
0.058861,1293.24
0.061606,1313.43
0.064116,1325.72
0.066979,1325.72
0.069782,1333.63
0.072177,1327.48
0.074748,1321.33
0.076792,1323.97
0.080647,1323.97
0.084385,1323.09
0.086312,1345.04
0.088823,1343.28
0.091743,1357.33
0.093553,1364.35
0.095597,1373.13
0.097933,1387.18
0.099451,1391.57
0.101613,1389.82
0.102957,1383.67
0.104826,1387.18
0.106285,1393.33
0.107804,1400.35
0.110082,1402.99
0.113586,1399.47
0.115514,1395.08
0.11785,1400.35
0.119662,1392.45
0.121122,1395.08
0.123225,1384.55
0.125678,1392.45
0.127664,1393.33
0.130293,1390.69
0.131694,1397.72
0.134263,1412.64
0.136016,1413.52
0.138352,1422.3
0.141213,1429.32
0.143959,1426.69
0.145828,1423.18
0.147755,1428.45
0.148924,1428.45
0.151377,1425.81
0.153188,1426.69
0.156634,1426.69
0.158327,1433.71
0.160781,1434.59
0.162884,1433.71
0.165454,1431.08
0.167498,1432.84
0.168725,1425.81
0.170478,1424.06
0.17258,1424.06
0.174274,1434.59
0.175383,1443.37
0.17655,1459.17
0.177193,1458.3
0.179005,1442.49
0.180349,1432.84
0.182043,1428.45
0.183853,1429.32
0.185021,1436.35
0.186189,1436.35
0.18841,1419.67
0.189403,1425.81
0.190629,1433.71
0.192323,1432.84
0.193725,1434.59
0.195243,1443.37
0.197638,1436.35
0.199858,1424.06

x,Casem2018_Fig2b_10000_295K_04
0,0
0.000228,89.55
0.000401,137.84
0.000867,161.55
0.00139,208.96
0.00197,268.66
0.002435,319.58
0.002956,388.06
0.003304,432.84
0.003652,484.64
0.004347,575.94
0.004869,640.91
0.00545,702.37
0.005623,736.61
0.005971,779.63
0.006435,834.94
0.007015,898.16
0.007654,962.25
0.008177,1008.78
0.008875,1056.19
0.009457,1103.6
0.010856,1153.64
0.012371,1212.47
0.013478,1261.63
0.015811,1318.7
0.017211,1342.41
0.018495,1363.48
0.019605,1361.72
0.02235,1359.96
0.023753,1353.82
0.025155,1339.77
0.027201,1325.72
0.029187,1317.82
0.030882,1299.39
0.031993,1287.09
0.033161,1290.61
0.034971,1299.39
0.037424,1305.53
0.039468,1316.07
0.04192,1331.87
0.044081,1333.63
0.046417,1334.5
0.047761,1324.85
0.049223,1309.04
0.051442,1306.41
0.053838,1297.63
0.056583,1307.29
0.059269,1323.09
0.062655,1338.89
0.064699,1355.58
0.067327,1361.72
0.070131,1361.72
0.073635,1369.62
0.07679,1361.72
0.08047,1357.33
0.083857,1360.84
0.086602,1372.26
0.088529,1379.28
0.091216,1381.91
0.093376,1395.08
0.095187,1399.47
0.097115,1385.43
0.098635,1376.65
0.100737,1378.4
0.102314,1387.18
0.103833,1382.79
0.104768,1378.4
0.107806,1367.87
0.111134,1379.28
0.113471,1381.91
0.116041,1371.38
0.118494,1378.4
0.121824,1374.01
0.124336,1367.87
0.126322,1372.26
0.128074,1378.4
0.130819,1371.38
0.133098,1366.99
0.135551,1374.89
0.137595,1374.89
0.140399,1362.6
0.144722,1364.35
0.147583,1371.38
0.150037,1367.87
0.151555,1374.89
0.153541,1382.79
0.155584,1395.96
0.157629,1395.96
0.162768,1404.74
0.164929,1412.64
0.168493,1407.37
0.170362,1402.99
0.171822,1410.01
0.173632,1412.64
0.175268,1410.01
0.177371,1402.99
0.179882,1422.3
0.181809,1432.84
0.182919,1419.67
0.184205,1407.37
0.186367,1401.23
0.188411,1406.5
0.191098,1410.01
0.193551,1410.01
0.19612,1423.18
0.198222,1442.49
0.199974,1448.64

x,Casem2018_Fig2b_10000_295K_05
0,0
0.000641,17.56
0.0014,39.51
0.001749,54.43
0.002391,71.12
0.002623,89.55
0.003671,158.91
0.004485,219.49
0.005357,289.73
0.005937,351.19
0.006808,443.37
0.007505,518.88
0.007968,583.85
0.008839,677.79
0.009303,733.1
0.009767,788.41
0.010581,850.75
0.011103,911.33
0.012209,979.81
0.012965,1039.51
0.014071,1097.45
0.01512,1151.01
0.016811,1201.93
0.018677,1257.24
0.020485,1301.14
0.022177,1335.38
0.023928,1359.09
0.025854,1374.89
0.028542,1359.96
0.031054,1354.7
0.034559,1354.7
0.037128,1365.23
0.039346,1394.21
0.041857,1403.86
0.042732,1419.67
0.04425,1432.84
0.046237,1425.81
0.047697,1431.08
0.04834,1418.79
0.049568,1396.84
0.050678,1394.21
0.051905,1387.18
0.052665,1376.65
0.054009,1360.84
0.055995,1360.84
0.05728,1372.26
0.059733,1374.89
0.062593,1402.11
0.064696,1406.5
0.066682,1401.23
0.069486,1393.33
0.072232,1386.3
0.074569,1382.79
0.076672,1382.79
0.077781,1383.67
0.080877,1386.3
0.08333,1397.72
0.08479,1391.57
0.086718,1382.79
0.089639,1380.16
0.0918,1384.55
0.094953,1397.72
0.096531,1391.57
0.098634,1379.28
0.100152,1391.57
0.101962,1409.13
0.103189,1397.72
0.105001,1388.94
0.106402,1395.08
0.108446,1404.74
0.109906,1417.03
0.112008,1417.91
0.113352,1412.64
0.116799,1398.6
0.119603,1395.08
0.121297,1393.33
0.1234,1398.6
0.125035,1399.47
0.125677,1409.13
0.126961,1427.57
0.129064,1419.67
0.13146,1407.37
0.133446,1412.64
0.136366,1417.91
0.137826,1420.54
0.140337,1424.93
0.142908,1418.79
0.145419,1420.54
0.148048,1419.67
0.150326,1419.67
0.152428,1428.45
0.155173,1430.2
0.157393,1431.08
0.159729,1435.47
0.162416,1435.47
0.164987,1431.08
0.166973,1427.57
0.168666,1431.96
0.170769,1436.35
0.171821,1431.96
0.173456,1428.45
0.17591,1427.57
0.177369,1439.86
0.179179,1457.42
0.180873,1459.17
0.181515,1455.66
0.183911,1439.86
0.185431,1427.57
0.186541,1417.03
0.188819,1419.67
0.190688,1424.93
0.192381,1431.96
0.193899,1444.25
0.194658,1452.15
0.195592,1462.69
0.196644,1459.17
0.198455,1455.66
0.199915,1453.91

x,Casem2018_Fig2b_10000_295K_06
0,0
0.000875,23.71
0.001808,47.41
0.0028,58.82
0.004316,115.89
0.00513,166.81
0.006236,244.07
0.007107,335.38
0.008094,429.32
0.009314,546.97
0.010243,640.91
0.011056,722.56
0.011346,755.05
0.012626,846.36
0.013615,915.72
0.014604,973.66
0.016002,1039.51
0.017167,1096.58
0.017808,1127.3
0.019265,1175.59
0.020665,1221.25
0.022473,1266.9
0.023698,1293.24
0.025274,1316.94
0.026908,1327.48
0.030588,1330.99
0.034852,1328.36
0.037305,1342.41
0.040107,1360.84
0.042617,1392.45
0.04431,1412.64
0.046063,1409.13
0.047289,1411.76
0.048866,1416.15
0.050035,1402.11
0.052256,1382.79
0.054652,1365.23
0.056755,1356.45
0.057748,1359.09
0.060376,1367.87
0.061718,1380.16
0.063003,1394.21
0.064346,1388.94
0.065749,1381.91
0.067325,1391.57
0.068902,1399.47
0.070128,1403.86
0.071706,1396.84
0.073283,1391.57
0.075211,1388.06
0.077138,1388.94
0.079066,1389.82
0.081344,1389.82
0.082629,1386.3
0.084849,1381.91
0.087069,1384.55
0.088762,1388.94
0.090865,1395.96
0.093259,1400.35
0.095538,1397.72
0.097582,1395.96
0.099275,1405.62
0.101144,1408.25
0.103014,1403.86
0.10389,1395.96
0.104767,1389.82
0.108213,1396.84
0.111191,1403.86
0.116565,1400.35
0.119428,1399.47
0.122231,1402.99
0.12445,1410.01
0.126728,1410.89
0.129415,1413.52
0.131809,1421.42
0.134029,1424.06
0.136658,1423.18
0.139812,1426.69
0.142206,1424.93
0.144894,1422.3
0.147639,1423.18
0.149975,1422.3
0.153421,1432.84
0.155231,1438.1
0.15675,1440.74
0.158094,1438.1
0.160022,1431.08
0.161949,1435.47
0.164168,1446.01
0.166212,1457.42
0.167906,1455.66
0.170651,1454.78
0.171819,1460.05
0.173279,1467.08
0.174623,1452.15
0.17585,1446.88
0.177485,1450.4
0.179413,1450.4
0.181107,1451.27
0.182742,1453.91
0.184436,1461.81
0.186889,1465.32
0.189576,1459.17
0.19238,1454.78
0.194424,1453.03
0.19606,1458.3
0.197986,1473.22
0.199914,1480.25

x,Casem2018_Fig2b_22000_295K_01
0,0
0.00105,29.85
0.002043,17.56
0.003444,45.65
0.004726,94.82
0.005483,134.33
0.006181,174.71
0.00688,213.35
0.007811,281.83
0.00845,339.77
0.009904,441.62
0.011301,529.41
0.012755,633.01
0.013802,705.88
0.015898,820.02
0.017004,897.28
0.018227,958.74
0.020034,1026.34
0.022132,1096.58
0.023939,1162.42
0.027849,1218.61
0.030417,1258.12
0.033804,1277.44
0.036841,1290.61
0.040228,1302.02
0.042973,1309.92
0.046477,1315.19
0.048872,1309.92
0.052669,1309.04
0.0581,1335.38
0.06137,1349.43
0.065107,1365.23
0.067969,1370.5
0.070889,1374.89
0.074804,1355.58
0.076849,1346.8
0.080763,1338.02
0.085085,1352.94
