x,Casem2018_Fig2b_10000_295K_01
0.087362,1359.96
0.090867,1364.35
0.094138,1361.72
0.097818,1357.33
0.10138,1369.62
0.1043,1380.16
0.108564,1381.91
0.111718,1384.55
0.11458,1397.72
0.117617,1404.74
0.121121,1409.13
0.124859,1409.13
0.128013,1410.01
0.131343,1415.28
0.134555,1426.69
0.136657,1425.81
0.139461,1423.18
0.142206,1431.08
0.144484,1438.98
0.14717,1446.01
0.150908,1453.03
0.154704,1461.81
0.158793,1465.32
0.162356,1470.59
0.165393,1471.47
0.169599,1468.83
0.173103,1475.86
0.177191,1482.88
0.18385,1494.29
0.187471,1502.19
0.19337,1500.44
0.197517,1502.19
0.199795,1506.58

x,Casem2018_Fig2b_22000_295K_02
0,0
0.001108,33.36
0.001867,39.51
0.002743,46.53
0.003559,67.6
0.004724,118.53
0.005655,181.74
0.006586,244.95
0.007342,302.02
0.007982,356.45
0.008911,436.35
0.009609,495.17
0.010538,596.14
0.011757,727.83
0.012686,815.63
0.013849,906.94
0.014779,983.32
0.015884,1065.85
0.016582,1119.4
0.017922,1182.62
0.019786,1259.88
0.021242,1333.63
0.024335,1382.79
0.026669,1426.69
0.029764,1431.96
0.032801,1440.74
0.035956,1432.84
0.039052,1425.81
0.042265,1419.67
0.045887,1416.15
0.049217,1409.13
0.052196,1403.86
0.05535,1413.52
0.058094,1422.3
0.060782,1412.64
0.063352,1405.62
0.066216,1384.55
0.068436,1372.26
0.071182,1370.5
0.072525,1374.89
0.074452,1383.67
0.07743,1400.35
0.081576,1410.89
0.084029,1416.15
0.08806,1415.28
0.091915,1411.76
0.095186,1408.25
0.097932,1411.76
0.101494,1416.15
0.104122,1426.69
0.107392,1442.49
0.109845,1451.27
0.113232,1461.81
0.116094,1472.34
0.118488,1485.51
0.120708,1486.39
0.123278,1482.88
0.125672,1491.66
0.128417,1505.71
0.130578,1510.97
0.133498,1518.88
0.139339,1519.75
0.141676,1514.49
0.145706,1510.97
0.14962,1498.68
0.153242,1489.03
0.157741,1480.25
0.161653,1493.42
0.16469,1501.32
0.168019,1510.1
0.170881,1518
0.174794,1530.29
0.178706,1546.97
0.181218,1551.36
0.184255,1557.51
0.185891,1552.24
0.190097,1544.34
0.194185,1553.99
0.197105,1561.02
0.19985,1564.53

x,Casem2018_Fig2b_22000_295K_03
0,0
0.000232,33.36
0.000757,46.53
0.001281,74.63
0.002038,115.89
0.002386,153.64
0.003141,228.27
0.003953,320.46
0.004591,404.74
0.005229,486.39
0.005576,542.58
0.006213,636.52
0.00685,719.93
0.007603,841.97
0.008879,984.2
0.009924,1102.72
0.010622,1158.03
0.011728,1219.49
0.013009,1279.19
0.014,1325.72
0.016392,1371.38
0.018551,1409.13
0.020829,1409.13
0.023925,1404.74
0.02632,1394.21
0.029709,1385.43
0.032396,1386.3
0.036017,1390.69
0.039403,1412.64
0.041914,1431.96
0.044834,1449.52
0.048395,1470.59
0.0512,1460.05
0.054647,1448.64
0.058269,1428.45
0.060781,1424.06
0.06306,1419.67
0.064987,1424.93
0.067556,1432.84
0.070944,1434.59
0.07404,1432.84
0.077837,1430.2
0.080932,1444.25
0.083618,1457.42
0.086714,1464.44
0.089692,1465.32
0.091912,1470.59
0.094248,1476.73
0.096817,1484.64
0.10003,1487.27
0.10406,1494.29
0.106746,1500.44
0.109142,1489.03
0.111654,1478.49
0.114399,1485.51
0.117319,1492.54
0.120415,1503.07
0.124036,1510.1
0.127598,1519.75
0.130927,1531.17
0.134373,1542.58
0.138227,1558.38
0.141731,1570.68
0.144475,1585.6
0.147161,1602.28
0.150608,1592.63
0.154756,1582.09
0.158494,1578.58
0.161356,1579.46
0.163575,1589.11
0.165794,1600.53
0.167313,1603.16
0.170642,1603.16
0.174089,1599.65
0.177477,1594.38
0.181391,1581.21
0.186882,1580.33
0.189218,1585.6
0.192079,1599.65
0.194007,1597.01
0.196987,1588.24
0.199907,1589.11

x,Casem2018_Fig2b_22000_295K_04
0,0
0.001167,28.09
0.002159,36.87
0.003384,58.82
0.003792,75.5
0.004492,104.48
0.005307,147.5
0.006122,193.15
0.006762,232.66
0.007577,282.7
0.008158,330.99
0.009147,398.6
0.009671,440.74
0.010368,500.44
0.010949,561.02
0.011879,636.52
0.012518,691.83
0.013099,747.15
0.013972,805.09
0.014786,863.92
0.015484,918.35
0.016473,986.83
0.017461,1060.58
0.018685,1113.26
0.019908,1170.32
0.021423,1231.78
0.022356,1271.29
0.023872,1313.43
0.025447,1353.82
0.026963,1389.82
0.028246,1421.42
0.031224,1453.03
0.033267,1471.47
0.034376,1483.76
0.037179,1487.27
0.040509,1494.29
0.043371,1489.03
0.046934,1487.27
0.049621,1489.9
0.052249,1492.54
0.055053,1492.54
0.058032,1493.42
0.061713,1474.98
0.065803,1460.05
0.067847,1459.17
0.070359,1460.05
0.072753,1471.47
0.074855,1482
0.077016,1491.66
0.079643,1503.95
0.082798,1496.93
0.085252,1489.9
0.08753,1494.29
0.089632,1496.93
0.092027,1498.68
0.094247,1499.56
0.096758,1501.32
0.099094,1510.97
0.101488,1520.63
0.103824,1532.05
0.10581,1539.07
0.107211,1543.46
0.109489,1544.34
0.111767,1540.83
0.114979,1553.99
0.117841,1564.53
0.120235,1573.31
0.123331,1575.07
0.126018,1576.82
0.128354,1577.7
0.130866,1578.58
0.133319,1580.33
0.136298,1578.58
0.14027,1575.94
0.14249,1571.55
0.146404,1555.75
0.151078,1547.85
0.152888,1553.99
0.155749,1569.8
0.158202,1578.58
0.16048,1589.11
0.161998,1590.87
0.164451,1590.87
0.167021,1592.63
0.16965,1593.5
0.172103,1597.89
0.173913,1601.4
0.176133,1611.06
0.178001,1618.09
0.180804,1631.26
0.183608,1625.99
0.186062,1619.84
0.188808,1607.55
0.191437,1596.14
0.193541,1586.48
0.195585,1580.33
0.198272,1589.99
0.199849,1592.63
