# Casem2018 Figure 2a
# Temperature: 295 K
# Strain rate: 9600 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1221.21
0.001973, 1255.34
0.003749, 1281.72
0.0073, 1289.48
0.013614, 1308.1
0.016573, 1326.72
0.020124, 1370.17
0.02407, 1396.55
0.027622, 1374.83
0.0292, 1353.1
0.031173, 1345.34
0.034527, 1332.93
0.038867, 1357.76
0.04084, 1357.76
0.045181, 1365.52
0.049324, 1359.31
0.053862, 1362.41
0.059189, 1354.66
0.06491, 1356.21
0.070237, 1373.28
0.075761, 1385.69
0.081088, 1367.07
0.084837, 1381.03
0.089375, 1370.17
0.092926, 1381.03
0.09845, 1367.07
0.102001, 1376.38
0.106342, 1370.17
0.109301, 1384.14
0.115417, 1388.79
0.123309, 1396.55
0.128439, 1391.9
0.131398, 1395.0
0.13416, 1398.1
0.136923, 1387.24
0.143631, 1401.21
0.151128, 1410.52
0.155863, 1401.21
0.160795, 1391.9
0.164938, 1407.41
0.167306, 1405.86
0.169871, 1416.72
0.173225, 1405.86
0.175198, 1413.62
0.178749, 1422.93
0.180525, 1415.17
0.183484, 1418.28
0.188811, 1408.97
0.192165, 1424.48
0.194335, 1418.28
0.198676, 1415.17
0.202227, 1424.48
0.206962, 1421.38
0.210908, 1430.69
0.213473, 1441.55
0.216235, 1422.93
0.22097, 1412.07
0.224718, 1413.62
0.228072, 1430.69
0.232216, 1419.83
0.23478, 1438.45
0.239516, 1436.9
0.244448, 1441.55
0.24721, 1444.66
0.251945, 1440.0
0.256877, 1441.55
0.259245, 1455.52
0.261612, 1467.93
0.262994, 1474.14
0.266348, 1467.93
0.268912, 1447.76
0.273647, 1441.55
0.276607, 1446.21
0.279764, 1463.28
0.282723, 1449.31
0.285288, 1447.76
0.287063, 1436.9
