# Casem2018 Figure 2b
# Temperature: 295 K
# Strain rate: 10000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1337.14
0.002627, 1366.99
0.003913, 1355.58
0.005725, 1335.38
0.007654, 1312.55
0.009875, 1288.85
0.011628, 1269.53
0.013906, 1268.66
0.016826, 1277.44
0.019279, 1290.61
0.021264, 1302.9
0.023016, 1305.53
0.025528, 1299.39
0.027222, 1307.29
0.029209, 1287.09
0.03178, 1273.05
0.034117, 1266.9
0.036278, 1260.76
0.03873, 1290.61
0.041241, 1293.24
0.043986, 1313.43
0.046496, 1325.72
0.049359, 1325.72
0.052162, 1333.63
0.054557, 1327.48
0.057128, 1321.33
0.059172, 1323.97
0.063027, 1323.97
0.066765, 1323.09
0.068692, 1345.04
0.071203, 1343.28
0.074123, 1357.33
0.075933, 1364.35
0.077977, 1373.13
0.080313, 1387.18
0.081831, 1391.57
0.083993, 1389.82
0.085337, 1383.67
0.087206, 1387.18
0.088665, 1393.33
0.090184, 1400.35
0.092462, 1402.99
0.095966, 1399.47
0.097894, 1395.08
0.10023, 1400.35
0.102042, 1392.45
0.103502, 1395.08
0.105605, 1384.55
0.108058, 1392.45
0.110044, 1393.33
0.112673, 1390.69
0.114074, 1397.72
0.116643, 1412.64
0.118396, 1413.52
0.120732, 1422.3
0.123593, 1429.32
0.126339, 1426.69
0.128208, 1423.18
0.130135, 1428.45
0.131304, 1428.45
0.133757, 1425.81
0.135568, 1426.69
0.139014, 1426.69
0.140707, 1433.71
0.143161, 1434.59
0.145264, 1433.71
0.147834, 1431.08
0.149878, 1432.84
0.151105, 1425.81
0.152858, 1424.06
0.15496, 1424.06
0.156654, 1434.59
0.157763, 1443.37
0.15893, 1459.17
0.159573, 1458.3
0.161385, 1442.49
0.162729, 1432.84
0.164423, 1428.45
0.166233, 1429.32
0.167401, 1436.35
0.168569, 1436.35
0.17079, 1419.67
0.171783, 1425.81
0.173009, 1433.71
0.174703, 1432.84
0.176105, 1434.59
0.177623, 1443.37
0.180018, 1436.35
0.182238, 1424.06
