# Casem2018 Figure 2a
# Temperature: 295 K
# Strain rate: 27000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1239.83
0.002367, 1258.45
0.004932, 1292.59
0.008681, 1300.34
0.01164, 1278.62
0.01381, 1280.17
0.015783, 1317.41
0.017559, 1353.1
0.019926, 1385.69
0.022491, 1353.1
0.025845, 1376.38
0.029397, 1396.55
0.031961, 1429.14
0.034132, 1463.28
0.038077, 1450.86
0.041431, 1421.38
0.043799, 1430.69
0.045575, 1418.28
0.048534, 1444.66
0.050704, 1453.97
0.052677, 1449.31
0.057215, 1449.31
0.059385, 1440.0
0.061161, 1458.62
0.063331, 1469.48
0.065107, 1460.17
0.069645, 1449.31
0.072209, 1444.66
0.073985, 1444.66
0.077931, 1466.38
0.082271, 1477.24
0.086217, 1455.52
0.090952, 1457.07
0.095687, 1464.83
0.100422, 1472.59
0.105157, 1467.93
0.109893, 1474.14
0.11443, 1471.03
0.118771, 1485.0
0.123506, 1492.76
0.128044, 1480.34
0.132779, 1480.34
0.136922, 1498.97
0.141657, 1498.97
0.146195, 1495.86
0.150338, 1503.62
0.154876, 1511.38
0.159413, 1509.83
0.161189, 1502.07
0.163754, 1511.38
0.16553, 1500.52
0.167502, 1514.48
0.170067, 1503.62
0.171251, 1516.03
0.172829, 1531.55
0.174802, 1522.24
0.177367, 1522.24
0.17934, 1520.69
0.182497, 1517.59
0.184272, 1517.59
0.186048, 1528.45
0.187626, 1517.59
0.188021, 1528.45
0.18881, 1537.76
0.189994, 1530.0
0.192164, 1542.41
0.194137, 1533.1
0.19611, 1531.55
0.19828, 1531.55
0.200451, 1526.9
0.205186, 1537.76
0.209921, 1540.86
0.214656, 1534.66
0.219391, 1543.97
0.224126, 1548.62
0.228861, 1542.41
0.233596, 1550.17
0.238134, 1556.38
0.242869, 1548.62
0.247604, 1548.62
0.252142, 1556.38
0.256877, 1551.72
0.261612, 1547.07
0.26615, 1556.38
0.270885, 1553.28
0.27562, 1548.62
0.280552, 1551.72
0.285287, 1547.07
0.289628, 1533.1
