# Casem2018 Figure 2a
# Temperature: 295 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 958.97
0.001775, 988.45
0.004735, 1010.17
0.011048, 1030.34
0.015981, 1038.1
0.020518, 1048.97
0.025253, 1056.72
0.029988, 1064.48
0.034724, 1073.79
0.039261, 1081.55
0.043996, 1089.31
0.048534, 1098.62
0.053269, 1106.38
0.057807, 1114.14
0.062542, 1123.45
0.067277, 1131.21
0.071815, 1140.52
0.076353, 1145.17
0.081088, 1151.38
0.085823, 1160.69
0.090163, 1168.45
0.094898, 1174.66
0.099633, 1180.86
0.104368, 1187.07
0.109103, 1193.28
0.113838, 1199.48
0.118376, 1204.14
0.126268, 1213.45
0.13199, 1221.21
0.137514, 1228.97
0.143235, 1235.17
0.14797, 1241.38
0.152311, 1247.59
0.157046, 1253.79
0.160597, 1258.45
0.165332, 1263.1
0.170067, 1269.31
0.174605, 1275.52
0.179537, 1281.72
0.184273, 1284.83
0.189008, 1291.03
0.193743, 1295.69
0.198478, 1298.79
0.203213, 1303.45
0.207948, 1308.1
0.212486, 1314.31
0.217221, 1318.97
0.221758, 1325.17
0.226494, 1329.83
0.231229, 1336.03
0.235964, 1337.59
0.240699, 1342.24
0.245434, 1346.9
0.249972, 1353.1
0.254707, 1356.21
0.258061, 1360.86
0.262796, 1363.97
0.267728, 1367.07
0.272463, 1371.72
0.277001, 1376.38
0.281539, 1381.03
0.286274, 1385.69
0.290811, 1387.24
0.295546, 1390.34
0.300084, 1399.66
0.304819, 1399.66
0.30916, 1404.31
0.315671, 1407.41
0.320011, 1413.62
0.324746, 1416.72
0.329481, 1419.83
0.334019, 1422.93
0.338557, 1427.59
