# Casem2018 Figure 7
# Temperature: 295 K
# Strain rate: 3000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1120.78
0.001501, 1140.29
0.006611, 1161.44
0.010517, 1193.97
0.015626, 1211.87
0.020735, 1239.53
0.022839, 1252.54
0.025846, 1246.05
0.02825, 1262.32
0.030956, 1263.96
0.034264, 1252.6
0.035766, 1267.23
0.04208, 1267.26
0.047794, 1252.66
0.049897, 1270.55
0.052301, 1278.69
0.058916, 1281.97
0.065231, 1262.5
0.068539, 1257.64
0.070642, 1273.9
0.076656, 1269.05
0.081163, 1303.21
0.084771, 1298.35
0.086875, 1314.61
0.092588, 1300.01
0.095295, 1288.65
0.097398, 1304.91
0.101608, 1301.68
0.103113, 1287.06
0.105818, 1287.08
0.109126, 1285.47
0.11153, 1301.73
0.114536, 1309.87
0.121151, 1306.65
0.127464, 1316.44
0.129569, 1303.44
0.133477, 1318.09
0.137085, 1313.23
0.139188, 1329.5
0.141593, 1339.26
0.1449, 1336.02
0.147304, 1350.66
0.150612, 1344.18
0.152718, 1336.06
0.156325, 1339.33
0.15903, 1352.35
0.161737, 1339.36
0.164144, 1326.37
0.166849, 1329.63
0.171356, 1362.16
0.174364, 1352.42
0.17737, 1362.19
0.180678, 1354.08
0.183684, 1357.34
0.18669, 1358.98
0.189697, 1357.37
0.193605, 1362.27
0.196312, 1352.53
0.198716, 1372.04
0.201722, 1372.06
0.206232, 1372.08
0.208638, 1365.59
0.211946, 1359.11
0.214651, 1370.5
0.21886, 1372.14
0.221567, 1364.03
0.225475, 1365.67
0.227579, 1375.43
0.233592, 1380.34
0.236599, 1372.23
0.240207, 1367.37
0.242612, 1378.76
0.244116, 1365.76
0.24622, 1370.65
0.249527, 1375.54
0.252534, 1369.05
0.261553, 1380.48
0.267265, 1385.38
0.27388, 1385.41
0.276888, 1374.05
0.280194, 1383.82
0.283801, 1390.34
0.28741, 1387.1
0.29132, 1370.87
0.292822, 1382.25
0.296731, 1380.65
0.298836, 1374.16
0.302443, 1383.93
0.30515, 1370.94
0.307254, 1383.95
0.310862, 1372.59
0.313267, 1385.6
0.317176, 1380.75
0.320183, 1366.13
0.322889, 1375.9
0.327097, 1384.05
0.329203, 1367.8
0.332811, 1369.45
0.335516, 1379.21
0.338824, 1366.22
0.34153, 1374.36
0.344837, 1369.5
0.348445, 1369.52
0.354459, 1363.05
0.357467, 1348.44
0.35957, 1367.95
0.363179, 1350.09
0.364682, 1363.1
0.368589, 1376.12
0.370094, 1361.5
0.3722, 1346.88
0.375205, 1359.9
0.378813, 1355.04
0.380919, 1342.05
0.387232, 1348.58
0.393246, 1345.36
