# Zhou 2017 Figure 6
# Temperature: 273 K ??
# Strain rate: 5e2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.014
#  C, 0.04
#  H, 0.005
# Fe, 0.03
#  O, 0.06
# Al, 6.16
#  V, 3.95
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,2.27374e-13
0.000956,442.29
0.001912,582.52
0.002486,708.89
0.004015,813.68
0.005736,876.85
0.008031,935.4
0.010325,969.3
0.013384,1015.51
0.01587,1066.36
0.018547,1100.25
0.020459,1124.89
0.021606,1151.09
0.02218,1169.58
0.023518,1181.9
0.024474,1197.31
0.025239,1211.17
0.026386,1223.49
0.027725,1234.28
0.029446,1248.14
0.030593,1272.79
0.030975,1289.74
0.031931,1309.77
0.033652,1320.55
0.035373,1325.16
0.037859,1326.69
0.039962,1326.68
0.0413,1309.72
0.04283,1285.05
0.043212,1251.15
0.043403,1198.75
