# Follansbee1989 Figure 13
# Temperature: 295 K
# Strain rate: 3000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.001
#  C, 0.065
#  H, 0
# Fe, 0.13
#  O, 0.18
# Al, 6.4
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
0.007053,935.62
0.008135,1048.39
0.009419,1161.15
0.00987,1236.92
0.018222,1309.09
0.023693,1309.04
0.031804,1317.78
0.040114,1321.23
0.047817,1326.45
0.057545,1328.13
0.067277,1336.85
0.075182,1340.31
0.0839,1349.04
0.092818,1352.49
0.102145,1361.21
0.110251,1362.91
0.118563,1369.88
0.126874,1375.09
0.13397,1380.32
0.142686,1385.53
0.14917,1385.47
0.154846,1388.94
0.161738,1392.41
0.168831,1394.11
0.175722,1395.81
