# Follansbee1989 Figure 12
# Temperature: 189 K
# Strain rate: 1.5e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.001
#  C, 0.065
#  H, 0
# Fe, 0.13
#  O, 0.18
# Al, 6.4
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1230.43
0.004746, 1276.97
0.011965, 1309.62
0.021912, 1335.27
0.032853, 1364.36
0.045783, 1396.84
0.056972, 1424.19
0.070396, 1453.2
0.081833, 1480.55
0.093018, 1500.98
0.102959, 1517.99
0.11166, 1536.76
0.120607, 1552.07
0.128318, 1576.06
0.131946, 1579.17
