# Follansbee1989 Figure 12
# Temperature: 189 K
# Strain rate: 1.5e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.001
#  C, 0.065
#  H, 0
# Fe, 0.13
#  O, 0.18
# Al, 6.4
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
0.003232,407.86
0.004021,605.17
0.00602,801.12
0.007713,1010.15
0.008712,1108.13
0.010415,1180.35
0.012184,1230.43
0.01693,1276.97
0.024149,1309.62
0.034096,1335.27
0.045037,1364.36
0.057967,1396.84
0.069156,1424.19
0.08258,1453.2
0.094017,1480.55
0.105202,1500.98
0.115143,1517.99
0.123844,1536.76
0.132791,1552.07
0.140502,1576.06
0.14413,1579.17
