# Lee1998 Figure 3
# Temperature: 298 K
# Strain rate: 1700 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0,1104.37
0.01,1231.16
0.02,1273.82
0.03,1306.44
0.04,1331.61
0.05,1351.79
0.06,1369.06
0.07,1385.43
0.08,1401.3
0.09,1415.85
0.1,1427.38
0.11,1437.18
0.12,1447.87
0.13,1458.71
0.14,1468.94
0.15,1478.53
0.16,1487.55
0.17,1496.05
0.18,1504.04
0.19,1511.58
0.2,1518.83
0.21,1525.9
