# Lee1998 Figure 3
# Temperature: 773 K
# Strain rate: 1700 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.000537,814.59
0.001959,843.78
0.004411,861.84
0.006859,875.74
0.010349,889.63
0.014186,902.12
0.018019,911.84
0.026376,927.1
0.035777,943.75
0.045176,957.62
0.049003,961.78
0.053527,967.32
0.081705,993.63
0.100487,1008.86
0.124137,1025.46
0.157865,1042.02
0.220102,1069.61
