# Lee1998 Figure 3
# Temperature: 773 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.000224,846.57
0.006536,897.98
0.019438,938.25
0.028493,956.29
0.041025,975.7
0.053203,989.56
0.063641,1000.65
0.104334,1031.09
0.114419,1036.61
0.140498,1050.42
0.151279,1057.34
0.191262,1073.88
0.202735,1078.01
0.215251,1083.53
0.228113,1086.26
0.238892,1091.78
0.278523,1104.16
0.29069,1106.9
