# Lee1998 Figure 3
# Temperature: 973 K
# Strain rate: 800 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
1.8e-05,656.13
0.00318,688.09
0.006327,706.15
0.010516,722.81
0.01714,742.25
0.022711,751.96
0.030371,765.84
0.035941,774.16
0.043946,785.25
0.049512,790.79
0.05786,797.71
0.062732,803.26
0.071427,810.18
0.078384,815.71
0.084993,821.25
0.090559,826.79
0.099252,830.93
