# Lee1998 Figure 3
# Temperature: 1173 K
# Strain rate: 1700 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0,532.19
0.01,580.33
0.02,598.2
0.03,611.04
0.04,619.4
0.05,626.91
0.06,635.27
0.07,641.48
0.08,645.62
0.09,649.94
0.1,654.62
0.11,659.39
0.12,663.8
0.13,667.49
0.14,670.77
0.15,674.19
0.16,677.75
0.17,680.94
0.18,682.73
0.19,685.12
0.2,688.07
