# Lee1998 Figure 3
# Temperature: 1373 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0,394.72
0.01,431.62
0.02,445.86
0.03,456.12
0.04,462.31
0.05,468.55
0.06,474.42
0.07,479.24
0.08,482.98
0.09,486.81
0.1,490.62
0.11,494.37
0.12,497.92
0.13,500.27
0.14,503.73
0.15,505.08
0.16,507.73
0.17,510.61
0.18,512.9
0.19,514.96
0.2,516.83
0.21,518.27
0.22,518.2
0.23,520.42
0.24,522.38
