# Lee1998 Figure 3
# Temperature: 773 K
# Strain rate: 1700 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0.01,888.4
0.02,915.62
0.03,933.67
0.04,950.4
0.05,963.63
0.06,973.6
0.07,982.98
0.08,992.11
0.09,1000.76
0.1,1008.49
0.11,1015.94
0.12,1022.85
0.13,1028.83
0.14,1033.88
0.15,1038.5
0.16,1042.98
0.17,1047.43
0.18,1051.86
0.19,1056.29
0.2,1060.72
0.21,1065.14
0.22,1069.56
