# Lee1998 Figure 3
# Temperature: 773 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0.01,911.61
0.02,939.59
0.03,958.86
0.04,974.36
0.05,985.89
0.06,997.63
0.07,1005.63
0.08,1013.2
0.09,1020.62
0.1,1027.94
0.11,1035.04
0.12,1039.26
0.13,1044.45
0.14,1050.11
0.15,1056.75
0.16,1061.14
0.17,1065.33
0.18,1069.41
0.19,1073.39
0.2,1077.03
0.21,1081.54
0.22,1084.7
0.23,1087.4
0.24,1092.19
0.25,1095.58
0.26,1098.71
0.27,1101.7
0.28,1104.57
0.29,1106.92
