# Lee1998 Figure 3
# Temperature: 973 K
# Strain rate: 3300 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0.01,788.25
0.02,807.41
0.03,820.47
0.04,832.97
0.05,838.99
0.06,845.07
0.07,851.3
0.08,856.56
0.09,862.23
0.1,866.99
0.11,870.54
0.12,874.32
0.13,878.53
0.14,882.31
0.15,884.82
0.16,886.85
0.17,889.4
0.18,892.31
0.19,895.26
0.2,898.1
0.21,900.69
0.22,903
0.23,905.1
0.24,907.09
0.25,909.01
0.26,910.88
0.27,912.67
0.28,914.39
0.29,916.04
0.3,917.6
0.31,919.1
0.32,920.54
0.33,921.95
0.34,923.33
0.35,924.69
