# Lee1998 Figure 3
# Temperature: 973 K
# Strain rate: 2500 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0.01,768.2
0.02,787.67
0.03,800.94
0.04,811.92
0.05,819.87
0.06,828.37
0.07,835.16
0.08,841.39
0.09,844.72
0.1,849.94
0.11,854.81
0.12,859.85
0.13,863.03
0.14,866.75
0.15,871.19
0.16,874.31
0.17,877.03
0.18,879.6
0.19,883.07
0.2,886.55
0.21,887.65
0.22,890.93
0.23,892.34
0.24,893.74
0.25,896.77
0.26,900.07
0.27,901.52
0.28,903.78
0.29,906.29
0.3,907.8
0.31,909.39
0.32,910.97
0.33,912.52
0.34,914.47
