# Lee1998 Figure 3
# Temperature: 1373 K
# Strain rate: 2500 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0,407.61
0.01,446.2
0.02,458.34
0.03,468.79
0.04,476.13
0.05,482.4
0.06,485.93
0.07,490.31
0.08,494.49
0.09,498.28
0.1,501.5
0.11,504.71
0.12,507.52
0.13,509.64
0.14,513.26
0.15,514.95
0.16,518.03
0.17,518.16
0.18,520.18
0.19,522.62
0.2,523.45
0.21,526.51
0.22,527.95
0.23,529.6
0.24,531.18
0.25,532.74
0.26,534.31
0.27,536
0.28,537.02
0.29,537.62
0.3,539.26
0.31,541
0.32,541.08
