# Lee1998 Figure 3
# Temperature: 573 K
# Strain rate: 2500 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0,989.79
0.01,1067.89
0.02,1098.38
0.03,1116.5
0.04,1130.68
0.05,1144.37
0.06,1157.56
0.07,1169.75
0.08,1179.22
0.09,1185.96
0.1,1192.84
0.11,1199.91
0.12,1206.9
0.13,1213.62
0.14,1219.84
0.15,1225.59
0.16,1231.23
0.17,1236.86
0.18,1241.45
0.19,1245.76
0.2,1249.9
0.21,1253.84
0.22,1257.5
0.23,1261.02
0.24,1264.6
0.25,1268.23
0.26,1271.89
