# Lee1998 Figure 3
# Temperature: 773 K
# Strain rate: 2500 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# ----------
# True strain, True stress (MPa)
0.01,925.29
0.02,951.14
0.03,969.14
0.04,983.55
0.05,995.45
0.06,1005.81
0.07,1014.32
0.08,1022.83
0.09,1030.57
0.1,1036
0.11,1041.25
0.12,1047.47
0.13,1052.79
0.14,1057.37
0.15,1063.81
0.16,1068.63
0.17,1071.62
0.18,1074.9
0.19,1079.2
0.2,1083.23
0.21,1086.51
0.22,1089.89
0.23,1093.83
0.24,1097.9
0.25,1101.47
0.26,1104.19
0.27,1106.46
0.28,1108.93
0.29,1112.15
0.3,1115.28
0.31,1118
0.32,1120.45
0.33,1122.78
0.34,1125.04
0.35,1127.26
