# Khan2007 Figure 9 Alloy 3
# Temperature: 296 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.000475,987.84
0.001899,1016.35
0.00712,1028.09
0.014241,1053.25
0.023022,1073.38
0.034652,1103.56
0.045095,1128.72
0.056487,1148.85
0.068829,1175.68
0.081171,1192.45
0.091377,1210.9
0.102294,1226
0.112975,1239.41
0.123892,1256.18
0.135759,1267.92
0.146203,1281.34
0.154984,1288.05
0.165902,1296.44
0.17943,1318.24
0.194146,1326.62
