# Khan2007 Figure 9 Alloy 3
# Temperature: 588 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.003085,692.66
0.012342,732.91
0.023497,769.81
0.036313,800
0.04913,825.16
0.059098,845.28
0.072627,870.44
0.084256,887.21
0.095886,902.31
0.107041,915.72
0.119858,930.82
0.133386,949.27
0.144304,964.36
0.154272,977.78
0.165427,986.16
0.176582,1001.26
0.187025,1009.64
0.198655,1023.06
0.210997,1034.8
0.219066,1039.83
