# Khan2007 Figure 6 Alloy 2
# Temperature: 588 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.000396,639.66
0.003365,678.28
0.011679,718.57
0.019992,752.15
0.030681,780.69
0.041964,800.84
0.054038,822.67
0.06631,837.78
0.077989,851.21
