# Khan2007 Figure 9 Alloy 3
# Temperature: 233 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.000475,1080.08
0.004035,1120.34
0.007358,1132.08
0.012579,1148.85
0.019225,1167.3
0.024921,1184.07
0.031804,1199.16
0.038924,1219.29
0.045807,1229.35
0.051503,1241.09
0.059335,1256.18
0.06693,1271.28
0.073813,1276.31
0.082358,1286.37
0.089715,1301.47
0.096123,1308.18
0.102532,1316.56
0.109177,1318.24
0.115111,1326.62
0.121519,1331.66
0.128877,1341.72
0.135759,1345.07
0.142405,1345.07
