# Khan2007 Figure 8 Alloy 3
# Temperature: 296 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.002177,1016.06
0.007258,1029.41
0.014516,1052.76
0.022742,1072.78
0.034355,1102.82
0.045,1127.84
0.056613,1151.2
0.068226,1176.23
0.081048,1196.25
0.09121,1211.26
0.102097,1227.95
0.112742,1239.62
0.123629,1256.31
0.135484,1267.99
0.145887,1279.67
0.154597,1288.01
0.165726,1299.69
0.179274,1316.37
0.19379,1328.05
