,0,1,2,3,4,5,6
0,shpb,573.0,0.0007999999999999999,0.6859,Lee1998,Lee1998_Fig3-573K-800.Plast,data_1
1,shpb,1373.0,0.0025,0.6859,Lee1998,Lee1998_Fig3-1373K-2500.Plast,data_2
2,shpb,973.0,0.0025,0.6859,Lee1998,Lee1998_Fig3-973K-2500.Plast,data_3
3,shpb,973.0,0.0017,0.6859,Lee1998,Lee1998_Fig3-973K-1700.Plast,data_4
4,shpb,973.0,0.002,0.6859,Lee1998,Lee1998_Fig3-973K-2000.Plast,data_5
5,shpb,1373.0,0.002,0.6859,Lee1998,Lee1998_Fig3-1373K-2000.Plast,data_6
6,shpb,298.0,0.0014,0.6859,Lee1998,Lee1998_Fig3-298K-1400.Plast,data_7
7,shpb,298.0,0.0017,0.6859,Lee1998,Lee1998_Fig3-298K-1700.Plast,data_8
8,shpb,1173.0,0.0025,0.6859,Lee1998,Lee1998_Fig3-1173K-2500.Plast,data_9
9,shpb,1173.0,0.0017,0.6859,Lee1998,Lee1998_Fig3-1173K-1700.Plast,data_10
10,shpb,1173.0,0.002,0.6859,Lee1998,Lee1998_Fig3-1173K-2000.Plast,data_11
11,shpb,973.0,0.0033,0.6859,Lee1998,Lee1998_Fig3-973K-3300.Plast,data_12
12,shpb,298.0,0.002,0.6859,Lee1998,Lee1998_Fig3-298K-2000.Plast,data_13
13,shpb,573.0,0.0014,0.6859,Lee1998,Lee1998_Fig3-573K-1400.Plast,data_14
14,shpb,773.0,0.002,0.6859,Lee1998,Lee1998_Fig3-773K-2000.Plast,data_15
15,shpb,773.0,0.0007999999999999999,0.6859,Lee1998,Lee1998_Fig3-773K-800.Plast,data_16
16,shpb,773.0,0.0025,0.6859,Lee1998,Lee1998_Fig3-773K-2500.Plast,data_17
17,shpb,773.0,0.0017,0.6859,Lee1998,Lee1998_Fig3-773K-1700.Plast,data_18
18,shpb,573.0,0.002,0.6859,Lee1998,Lee1998_Fig3-573K-2000.Plast,data_19
19,shpb,773.0,0.0014,0.6859,Lee1998,Lee1998_Fig3-773K-1400.Plast,data_20
20,shpb,298.0,0.0007999999999999999,0.6859,Lee1998,Lee1998_Fig3-298K-800.Plast,data_21
21,shpb,573.0,0.0025,0.6859,Lee1998,Lee1998_Fig3-573K-2500.Plast,data_22
22,shpb,973.0,0.0007999999999999999,0.6859,Lee1998,Lee1998_Fig3-973K-800.Plast,data_23
23,shpb,573.0,0.0017,0.6859,Lee1998,Lee1998_Fig3-573K-1700.Plast,data_24
24,shpb,1273.0,1e-07,0.6859,Babu2013,Babu2013_Fig5-1273K-1e-1.Plast,data_25
25,shpb,1173.0,1e-06,0.6859,Babu2013,Babu2013_Fig4-1173K-1e0.Plast,data_26
26,shpb,573.0,1e-09,0.6859,Babu2013,Babu2013_Fig3-573K-1e-3.Plast,data_27
27,shpb,293.0,1e-09,0.6859,Babu2013,Babu2013_Fig3-293K-1e-3.Plast,data_28
28,shpb,373.0,1e-08,0.6859,Babu2013,Babu2013_Fig3-373K-1e-2.Plast,data_29
29,shpb,1373.0,1e-07,0.6859,Babu2013,Babu2013_Fig5-1373K-1e-1.Plast,data_30
30,shpb,773.0,1e-08,0.6859,Babu2013,Babu2013_Fig4-773K-1e-2.Plast,data_31
31,shpb,1223.0,1e-06,0.6859,Babu2013,Babu2013_Fig5-1223K-1e0.Plast,data_32
32,shpb,673.0,1e-06,0.6859,Babu2013,Babu2013_Fig3-673K-1e0.Plast,data_33
33,shpb,473.0,1e-09,0.6859,Babu2013,Babu2013_Fig3-473K-1e-3.Plast,data_34
34,shpb,673.0,1e-08,0.6859,Babu2013,Babu2013_Fig3-673K-1e-2.Plast,data_35
35,shpb,1073.0,1e-06,0.6859,Babu2013,Babu2013_Fig4-1073K-1e0.Plast,data_36
36,shpb,1323.0,1e-07,0.6859,Babu2013,Babu2013_Fig5-1323K-1e-1.Plast,data_37
37,shpb,573.0,1e-08,0.6859,Babu2013,Babu2013_Fig3-573K-1e-2.Plast,data_38
38,shpb,373.0,1e-06,0.6859,Babu2013,Babu2013_Fig3-373K-1e0.Plast,data_39
39,shpb,373.0,1e-09,0.6859,Babu2013,Babu2013_Fig3-373K-1e-3.Plast,data_40
40,shpb,773.0,1e-09,0.6859,Babu2013,Babu2013_Fig4-773K-1e-3.Plast,data_41
