"label","filename","paper","temp","strainRate","chem_Y","chem_N","chem_C","chem_H","chem_Fe","chem_0","chem_Al","chem_V","chem_Mn","chem_Si"
1,"Babu2013_Fig3-293K-1e-2.Plast.csv","Babu2013",293,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
2,"Babu2013_Fig3-293K-1e-3.Plast.csv","Babu2013",293,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
3,"Babu2013_Fig3-293K-1e0.Plast.csv","Babu2013",293,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
4,"Babu2013_Fig3-373K-1e-2.Plast.csv","Babu2013",373,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
5,"Babu2013_Fig3-373K-1e-3.Plast.csv","Babu2013",373,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
6,"Babu2013_Fig3-373K-1e0.Plast.csv","Babu2013",373,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
7,"Babu2013_Fig3-473K-1e-2.Plast.csv","Babu2013",473,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
8,"Babu2013_Fig3-473K-1e-3.Plast.csv","Babu2013",473,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
9,"Babu2013_Fig3-473K-1e0.Plast.csv","Babu2013",473,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
10,"Babu2013_Fig3-573K-1e-2.Plast.csv","Babu2013",573,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
11,"Babu2013_Fig3-573K-1e-3.Plast.csv","Babu2013",573,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
12,"Babu2013_Fig3-573K-1e0.Plast.csv","Babu2013",573,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
13,"Babu2013_Fig3-673K-1e-2.Plast.csv","Babu2013",673,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
14,"Babu2013_Fig3-673K-1e-3.Plast.csv","Babu2013",673,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
15,"Babu2013_Fig3-673K-1e0.Plast.csv","Babu2013",673,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
16,"Babu2013_Fig4-1073K-1e-2.Plast.csv","Babu2013",1073,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
17,"Babu2013_Fig4-1073K-1e-3.Plast.csv","Babu2013",1073,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
18,"Babu2013_Fig4-1073K-1e0.Plast.csv","Babu2013",1073,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
19,"Babu2013_Fig4-1173K-1e-2.Plast.csv","Babu2013",1173,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
20,"Babu2013_Fig4-1173K-1e-3.Plast.csv","Babu2013",1173,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
21,"Babu2013_Fig4-1173K-1e0.Plast.csv","Babu2013",1173,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
22,"Babu2013_Fig4-773K-1e-2.Plast.csv","Babu2013",773,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
23,"Babu2013_Fig4-773K-1e-3.Plast.csv","Babu2013",773,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
24,"Babu2013_Fig4-773K-1e0.Plast.csv","Babu2013",773,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
25,"Babu2013_Fig4-873K-1e-2.Plast.csv","Babu2013",873,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
26,"Babu2013_Fig4-873K-1e-3.Plast.csv","Babu2013",873,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
27,"Babu2013_Fig4-873K-1e0.Plast.csv","Babu2013",873,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
28,"Babu2013_Fig4-973K-1e-2.Plast.csv","Babu2013",973,0.01,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
29,"Babu2013_Fig4-973K-1e-3.Plast.csv","Babu2013",973,0.001,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
30,"Babu2013_Fig4-973K-1e0.Plast.csv","Babu2013",973,1,0,0,0.01,0.0082,0.21,0.162,6.19,3.98,NA,NA
