# Babu2013 Figure 3
# Temperature: 373 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
# True strain, stress (MPa)
0,-2.27374e-13
0.010736,938.56
0.022218,1021.03
0.033981,1067.38
0.045463,1098.05
0.057132,1121.23
0.068895,1138.95
0.080564,1155.31
0.09242,1166.21
0.103809,1174.39
0.115665,1183.25
0.127521,1188.7
0.13891,1191.43
0.150485,1194.16
0.162155,1191.43
0.17401,1188.7
