# Babu2013 Figure 5
# Temperature: 1373 K
# Strain rate: 1.0e-1 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
True strain, stress (MPa)
-1.38778e-17,0
0.004068,21.998
0.009439,27.137
0.012757,26.236
0.015251,24.072
0.018985,22.99
0.022706,25.515
0.057932,26.146
0.093572,26.867
0.128384,27.408
0.163197,27.408
0.198009,27.769
0.233652,27.859
0.269296,27.318
0.303695,27.137
0.340166,27.228
0.374568,26.416
0.410626,26.236
0.44544,26.056
0.480254,25.785
