# Babu2013 Figure 4
# Temperature: 773 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
# True strain, stress (MPa)
-1.38778e-17,-2.27374e-13
0.009538,637.578
0.020735,711.348
0.032346,764.237
0.043957,803.205
0.055154,829.644
0.066765,849.818
0.077962,863.728
0.088744,872.766
0.100355,880.411
0.112382,885.967
0.123578,885.956
0.13436,890.818
0.145972,889.414
0.157583,888.706
0.16878,887.999
0.180806,883.811
0.191588,881.016
