# Babu2013 Figure 3
# Temperature: 573 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
# True strain, stress (MPa)
0,-2.27374e-13
0.008682,615.48
0.01447,679.55
0.020538,728.63
0.026792,768.84
0.03286,802.24
0.038742,830.19
0.044623,853.36
0.050691,871.08
0.056852,890.17
0.062827,899.71
0.069081,909.93
0.075243,918.11
0.081124,924.25
0.088219,927.65
0.093447,934.47
0.099141,939.24
0.105676,940.6
