# Nemat-Nasser2001 Figure 1a Commercial Ti64
# Temperature: 798 K
# Strain rate: 3100 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# ----------
# True Strain, True Stress (MPa)
3.1e-05,0.000557101
0.004622,382.34
0.00659,498.7
0.007901,590.13
0.008885,662.86
0.010197,735.58
0.011836,783.38
0.014787,816.62
0.017411,804.16
0.018273,785.11
0.022536,749.48
0.024953,737.66
0.028504,753.93
0.03362,789.56
0.035774,795.84
0.041294,789.56
0.048968,802.92
0.057494,802.92
0.065168,802.92
0.071989,807.38
0.080515,807.38
0.089042,807.38
0.097568,811.83
0.106094,816.28
0.113768,825.19
0.122294,825.19
0.130821,834.1
0.139347,834.1
0.147021,843.01
0.155547,847.46
0.164074,851.91
0.1726,856.37
0.180274,860.82
0.1888,865.27
0.197326,869.73
0.205853,874.18
0.214379,878.63
0.222053,883.09
0.230579,887.54
0.239106,891.99
0.247632,891.99
0.256158,891.99
0.264685,891.99
0.273211,896.45
0.281738,896.45
0.289411,900.9
0.297938,900.9
0.305611,905.36
0.314138,905.36
0.321811,900.9
0.330338,905.36
0.338864,909.81
0.347391,914.26
0.355064,909.81
0.363591,914.26
0.372117,914.26
0.379791,914.26
0.388317,914.26
0.396843,914.26
0.404517,914.26
0.413044,914.26
0.42157,914.26
0.430096,914.26
0.43777,914.26
0.446296,909.81
0.454823,909.81
0.462496,905.36
0.471023,905.36
0.476486,899.74
