# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 296 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# ----------
# True Strain, True Stress (MPa)
0,2.27374e-13
0.000872,192.49
0.001768,239.76
0.00206,295.48
0.002952,368.09
0.003846,432.24
0.004739,499.78
0.005325,596.02
0.00621,709.15
0.007402,793.57
0.008594,874.61
0.009489,926.95
0.010989,969.16
0.012789,1018.11
0.016098,1058.62
0.020313,1082.23
0.024529,1102.46
0.028746,1119.32
0.034169,1129.41
0.039591,1146.26
0.045014,1156.36
0.050437,1169.83
0.05586,1179.92
0.061285,1183.26
0.066707,1196.74
0.072131,1203.45
0.077554,1213.55
0.082979,1216.89
0.088402,1230.36
0.093826,1233.7
0.099853,1240.41
0.105879,1250.5
0.111303,1253.84
0.11733,1260.56
0.122753,1270.65
0.12878,1273.99
0.134807,1277.33
0.14023,1287.42
0.145052,1290.77
0.151079,1297.48
0.156503,1304.2
0.161927,1307.54
0.167954,1314.25
0.173981,1317.59
0.179405,1320.93
0.18483,1324.27
0.190857,1327.6
0.196883,1337.69
0.20291,1337.65
0.208335,1340.99
0.213759,1347.71
0.219786,1351.05
0.225813,1354.38
0.231237,1357.73
0.236661,1364.44
0.242689,1364.4
0.248716,1367.74
0.254141,1371.08
0.259565,1371.04
0.265593,1371
0.271018,1374.34
0.277045,1374.3
0.28247,1377.64
0.288497,1377.6
0.293921,1384.32
0.299347,1380.9
0.304772,1380.87
0.310197,1377.45
0.316225,1377.41
0.32105,1363.87
0.321956,1348.67
