# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 500 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# ----------
# True Strain, True Stress (MPa)
0,2.27374e-13
0.000592,64.16
0.001787,128.32
0.002683,173.9
0.004784,229.61
0.005676,302.21
0.006569,366.37
0.007462,432.22
0.008358,481.18
0.009555,533.52
0.010452,577.42
0.010746,623
0.012549,653.39
0.014351,687.15
0.016155,717.53
0.019164,747.9
0.022776,771.52
0.026991,798.5
0.03181,815.36
0.03663,832.21
0.042052,849.06
0.047475,862.53
0.052898,872.63
0.058321,882.72
0.064347,892.81
0.06977,902.91
0.075194,913
0.080014,923.1
0.085438,929.82
0.090862,936.53
0.096888,943.25
0.102312,953.34
0.108339,956.68
0.113762,966.77
0.119186,973.49
0.124007,980.21
0.129431,983.55
0.134855,993.65
0.139676,1000.37
0.145703,1003.71
0.151127,1010.42
0.156551,1017.14
0.161974,1023.86
0.167398,1030.58
0.172822,1037.29
0.177643,1044.02
0.183671,1043.98
0.189095,1050.69
0.195121,1057.41
0.201148,1064.12
0.206572,1067.46
0.211996,1074.18
0.218023,1077.51
0.22405,1084.23
0.229474,1090.95
0.235501,1094.28
0.240925,1101
0.246349,1107.72
0.252376,1111.05
0.258403,1114.39
0.263827,1121.11
0.269252,1121.07
0.275279,1124.41
0.280703,1131.12
0.286127,1134.47
0.292154,1141.18
0.296976,1141.15
0.303003,1144.48
0.308427,1151.2
0.313249,1151.17
0.319276,1154.5
0.325303,1161.22
0.330124,1164.56
0.336153,1161.14
0.341577,1167.86
0.347001,1171.2
0.353029,1171.16
