# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 600 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# ----------
# True Strain, True Stress (MPa)
6.93889e-18,4.54747e-13
0.003341,121.73
0.005469,247.91
0.006871,374.09
0.008277,489.21
0.010178,577.75
0.012578,630.86
0.014984,670.68
0.017391,706.08
0.020768,737.04
0.024633,759.14
0.028498,781.23
0.032848,803.33
0.037199,820.99
0.04155,838.65
0.045903,851.89
0.05074,865.12
0.055093,878.36
0.059933,887.16
0.064286,900.4
0.069125,909.2
0.073479,918.01
0.077832,931.24
0.082671,940.04
0.087025,953.28
0.090413,957.67
0.095252,966.47
0.099606,975.28
0.104447,979.66
0.108318,988.47
0.113159,992.84
0.116062,997.24
0.120902,1006.04
0.12526,1005.99
0.130097,1019.22
0.134938,1023.6
0.139295,1027.98
0.144135,1032.35
0.148008,1036.74
0.152847,1045.54
0.157203,1049.92
0.162044,1054.29
0.166399,1063.1
0.170273,1063.06
0.17463,1067.44
0.178986,1071.82
0.183825,1080.62
0.188184,1080.57
0.191572,1084.96
0.196413,1089.34
0.201254,1093.71
0.20561,1098.09
0.210451,1102.47
0.215292,1106.84
0.21965,1106.79
0.224491,1111.17
0.228848,1115.55
0.233688,1119.92
0.238529,1124.3
0.242888,1124.25
0.246276,1128.64
0.251117,1133.01
0.255959,1132.96
0.267578,1141.69
0.272419,1146.06
0.276777,1146.01
0.281136,1145.97
0.285492,1150.35
0.290335,1150.29
0.29469,1159.1
0.299532,1159.05
0.304375,1158.99
0.308731,1163.37
0.31309,1163.32
0.315025,1167.73
0.319866,1172.1
0.324709,1172.05
0.329065,1176.43
0.332941,1171.96
0.337782,1176.33
0.34214,1176.29
0.346979,1185.09
