# Nemat-Nasser2001 Figure 1b Commercial Ti64
# Temperature: 598 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# ----------
# True Strain, True Stress (MPa)
6.93889e-18,0
0.00096,38.74
0.002166,64.56
0.004098,97.75
0.005544,130.95
0.00699,167.83
0.00795,204.72
0.008426,241.62
0.009145,278.51
0.010105,317.25
0.010822,359.68
0.011782,398.42
0.012742,440.84
0.013702,477.73
0.014663,514.62
0.015625,547.83
0.017555,584.71
0.02143,603.12
0.025305,617.85
0.029664,636.26
0.03354,647.29
0.038387,654.63
0.042747,669.35
0.047594,676.68
0.051955,684.02
0.056316,695.05
0.061163,702.39
0.065525,709.73
0.069886,720.76
0.074733,724.4
0.079096,728.05
0.083457,739.08
0.088304,746.42
0.092667,750.07
0.097029,757.41
0.10139,764.75
0.106237,772.08
0.111084,779.42
0.115447,783.07
0.120293,790.4
0.124655,797.74
0.129503,801.39
0.133381,801.35
0.138227,812.38
0.142589,819.72
0.147437,823.36
0.151799,830.7
0.156645,838.04
0.161493,841.68
0.165855,849.02
0.170702,852.67
0.175065,856.32
0.179427,863.66
0.184274,870.99
0.189121,874.64
0.193484,878.29
0.198331,885.62
0.202208,892.97
0.206571,896.62
0.211418,900.26
0.21578,907.6
0.220143,911.25
0.22499,914.9
0.229351,925.93
0.233714,929.58
0.238562,933.22
0.242923,940.56
0.247285,947.9
0.252133,951.55
0.256011,955.2
0.260858,958.85
0.26522,966.19
0.269584,966.15
0.271038,969.82
0.275884,977.16
0.280247,980.81
0.285094,988.14
0.289457,988.1
0.293819,995.44
0.298182,999.09
0.303031,999.05
0.307392,1006.39
0.31224,1010.03
0.317088,1013.68
0.321449,1021.02
0.326297,1024.67
0.331145,1028.31
0.335507,1031.96
0.340354,1039.3
0.345202,1042.94
0.35005,1042.9
0.354413,1046.55
0.358775,1053.89
0.363622,1057.53
0.36847,1061.18
0.372349,1061.14
0.376711,1068.48
0.381073,1075.82
0.385921,1075.78
0.390769,1079.42
