length(mm),radius(mm)
-0.0, 4.53368272073
0.031719602048, 4.54996558568
0.0634392040961, 4.55831855012
0.0951588061441, 4.56318235834
0.126878408192, 4.56646018645
0.15859801024, 4.56815203446
0.190317612288, 4.56952668645
0.222037214336, 4.56994975038
0.253756816384, 4.57005561829
0.285476418432, 4.56984429018
0.31719602048, 4.56931576605
0.348915622528, 4.56878724192
0.380635224576, 4.56794152177
0.412354826624, 4.56677860559
0.444074428673, 4.5652984934
0.475794030721, 4.56381838121
0.507513632769, 4.56233826901
0.539233234817, 4.5605409608
0.570952836865, 4.55874365259
0.602672438913, 4.55662914835
0.634392040961, 4.5541974481
0.666111643009, 4.55208294386
0.697831245057, 4.54933404759
0.729550847105, 4.54690234733
0.761270449153, 4.54383625504
0.792990051201, 4.54077016274
0.824709653249, 4.53770407045
0.856429255297, 4.53432078213
0.888148857345, 4.53093749381
0.919868459393, 4.5275542055
0.951588061441, 4.52417091718
0.983307663489, 4.52078762887
1.01502726554, 4.51772153657
1.04674686759, 4.51497264029
1.07846646963, 4.51254094004
1.11018607168, 4.51010923978
1.14190567373, 4.50799473555
1.17362527578, 4.50588023132
1.20534487783, 4.5040829231
1.23706447987, 4.50196841887
1.26878408192, 4.49953671861
1.30050368397, 4.49742221438
1.33222328602, 4.4946733181
1.36394288807, 4.49160722581
1.39566249011, 4.48854113351
1.42738209216, 4.4851578452
1.45910169421, 4.48177455688
1.49082129626, 4.47839126856
1.52254089831, 4.47469078423
1.55426050035, 4.47099029989
1.5859801024, 4.46760701158
1.61769970445, 4.46422372326
1.6494193065, 4.46084043494
1.68113890855, 4.45745714663
1.71285851059, 4.45439105433
1.74457811264, 4.45164215806
1.77629771469, 4.44889326178
1.80801731674, 4.44614436551
1.83973691879, 4.44371266525
1.87145652083, 4.441280965
1.90317612288, 4.43884926474
1.93489572493, 4.43673476051
1.96661532698, 4.43462025627
1.99833492903, 4.43250575204
2.03005453107, 4.4303912478
2.06177413312, 4.42859393959
2.09349373517, 4.42647943536
2.12521333722, 4.42436493112
2.15693293927, 4.42256762291
2.18865254131, 4.42045311867
2.22037214336, 4.41833861444
2.25209174541, 4.41590691419
2.28381134746, 4.41347521393
2.31553094951, 4.41104351368
2.34725055155, 4.4082946174
2.3789701536, 4.40554572113
2.41068975565, 4.40247962883
2.4424093577, 4.39909634051
2.47412895975, 4.39603024822
2.50584856179, 4.39296415592
2.53756816384, 4.39021525965
