# Babu2013 Figure 3
# Temperature: 673 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 644.11
0.006814, 697.27
0.013723, 735.44
0.020911, 771.57
0.028006, 801.56
0.035287, 823.37
0.042382, 842.45
0.04957, 860.18
0.056572, 873.13
0.063853, 886.76
0.070855, 897.66
0.078136, 907.89
0.085418, 916.07
0.092233, 924.93
0.099421, 929.7
0.106702, 937.88
0.113704, 941.29
0.121079, 944.69
0.1278, 947.42
0.135362, 948.78
0.142177, 952.87
0.149365, 954.24
0.156553, 954.24
0.163835, 954.24
