# Babu2013 Figure 4
# Temperature: 773 K
# Strain rate: 1.0e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 634.097
0.017002, 707.166
0.032761, 751.698
0.049348, 776.044
0.066351, 794.124
0.082938, 807.333
0.099941, 817.757
0.116114, 825.397
0.132287, 830.949
0.149704, 833.716
0.165877, 835.092
0.182879, 836.468
0.199467, 837.843
0.216054, 837.827
0.232642, 836.418
0.249644, 835.705
0.266232, 836.385
0.282405, 834.977
0.298993, 834.264
0.315995, 834.943
0.332998, 832.142
