# Babu2013 Figure 4
# Temperature: 1073 K
# Strain rate: 1.0e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 141.99
0.008708, 181.656
0.019076, 194.175
0.029028, 202.518
0.03981, 207.379
0.049763, 208.065
0.073815, 203.169
0.097452, 196.881
0.120675, 188.505
0.145971, 181.52
0.169194, 173.84
0.192831, 168.944
0.216469, 164.744
0.240936, 159.847
0.264573, 155.648
0.28904, 152.143
0.312263, 148.64
0.336315, 145.135
0.360367, 141.631
0.384419, 137.431
0.407642, 133.232
0.432523, 129.727
0.456161, 126.919
