# Babu2013 Figure 4
# Temperature: 1073 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 92.571
0.009123, 135.717
0.019905, 145.451
0.043542, 147.516
0.068009, 146.1
0.092891, 143.291
0.116943, 139.09
0.140995, 132.802
0.165462, 129.993
0.190758, 126.488
0.214395, 122.984
0.238447, 118.784
0.263744, 115.278
0.287796, 113.166
0.312677, 110.357
0.336729, 108.245
0.361196, 104.741
0.385663, 101.236
0.41013, 98.428
0.433767, 97.708
0.458649, 96.291
